ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,data_ombro1,data_ombro2,label_humano,altura_rel_cabeca,ratio_ombro_esquerdo,ratio_ombro_direito,ratio_simetria_altura_ombros,neckline_slope,volume_breakout_ratio,dist_ombro1_cabeca,dist_cabeca_ombro2,ratio_simetria_temporal,dif_altura_ombros_rel,extensao_ombro1,extensao_ombro2,neckline_angle_rad,ruido_padrao,notas_revisao,previsao_modelo
XRP-USD,1h,OCO,2025-06-09 05:00:00,2025-06-10 16:00:00,35,60,2025-06-09 23:00:00,2.32,2025-06-09 12:00:00,2025-06-10 12:00:00,0,0.0544,0.3921,0.4005,0.9792,0.0417,0.737,0.4583,0.5417,0.8462,0.0083,0.0833,0.1667,0.0416,0.0045,,1
LTC-USD,1h,OCOI,2024-11-10 18:00:00,2024-11-12 08:00:00,38,60,2024-11-11 06:00:00,75.21,2024-11-10 21:00:00,2024-11-12 05:00:00,0,2.7225,0.5886,0.6988,0.8423,2.4789,3.3923,0.375,0.9583,0.3913,0.1102,0.2083,0.2083,1.1874,0.008,,1
ADA-USD,1h,OCO,2024-12-07 10:00:00,2024-12-08 09:00:00,23,60,2024-12-08 00:00:00,1.21,2024-12-07 15:00:00,2024-12-08 07:00:00,0,0.0207,0.4378,1.6182,0.2706,-0.031,3.6215,0.375,0.5417,0.6923,1.1804,0.0833,0.1667,-0.031,0.0086,,1
MATIC-USD,1h,OCO,2023-12-26 21:00:00,2023-12-28 18:00:00,45,60,2023-12-27 13:00:00,1.07,2023-12-27 01:00:00,2023-12-28 11:00:00,1,0.0259,0.2316,0.3184,0.7274,-0.0291,0.0,0.1667,0.4583,0.3636,0.0868,0.0833,0.0833,-0.0291,0.0129,,0
LINK-USD,1h,OCO,2025-01-27 12:00:00,2025-01-29 14:00:00,50,60,2025-01-28 05:00:00,24.46,2025-01-27 15:00:00,2025-01-29 07:00:00,1,1.6228,0.55,0.5611,0.9801,-0.2445,1.0,0.5833,1.0833,0.5385,0.0111,0.1667,0.3333,-0.2398,0.0103,,0
LINK-USD,4h,OCO,2024-09-24 20:00:00,2024-10-01 16:00:00,41,240,2024-09-28 20:00:00,12.93,2024-09-25 12:00:00,2024-10-01 08:00:00,1,0.3266,0.203,0.2517,0.8066,-0.0583,2.8992,1.5,0.8333,0.5556,0.0487,1.0,0.3333,-0.0583,0.0088,,0
SHIB-USD,1h,OCOI,2025-04-02 22:00:00,2025-04-05 01:00:00,51,60,2025-04-03 12:00:00,0.0,2025-04-02 23:00:00,2025-04-04 11:00:00,1,0.0,0.2592,0.3482,0.7445,-0.0,10.0048,0.2083,0.6667,0.3125,0.089,0.0833,0.2917,-0.0,0.0092,,0
XRP-USD,1h,OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,62,60,2025-05-19 07:00:00,2.3,2025-05-18 20:00:00,2025-05-20 14:00:00,1,0.0545,1.251,0.0552,0.0441,-0.1909,0.7784,0.4583,0.2083,0.4545,-1.1958,0.125,0.0417,-0.1886,0.0098,,0
SHIB-USD,4h,OCOI,2025-01-21 20:00:00,2025-01-31 12:00:00,58,240,2025-01-27 08:00:00,0.0,2025-01-23 20:00:00,2025-01-29 00:00:00,0,0.0,0.1812,0.4179,0.4336,-0.0,0.8307,2.0,1.6667,0.8333,0.2367,0.3333,0.8333,-0.0,0.0208,,1
BCH-USD,1d,OCO,2025-03-01 00:00:00,2025-03-14 00:00:00,13,1440,2025-03-06 00:00:00,393.82,2025-03-03 00:00:00,2025-03-12 00:00:00,1,69.1611,0.1315,0.1298,0.9872,2.1811,0.5305,3.0,6.0,0.5,-0.0017,1.0,1.0,1.1409,0.0881,,0
