ticker,intervalo,estrategia_zigzag,tipo_padrao,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_divergencia_macd,valid_divergencia_rsi,valid_extremo_cabeca,valid_neckline_plana,valid_neckline_retest_p6,valid_ombro_direito_fraco,valid_perfil_volume,valid_proeminencia_cabeca,valid_simetria_ombros,p0_idx,data_inicio,ombro1_preco,neckline1_idx,neckline1_preco,data_cabeca,cabeca_preco,neckline2_idx,neckline2_preco,data_fim,ombro2_preco,retest_p6_idx,retest_p6_preco,label_humano
EOS-USD,5m,scalping_aggressive,OCO,90,True,True,False,False,True,True,True,True,True,True,True,2025-08-05 21:00:00,2025-08-05 21:20:00,0.5029528737068176,2025-08-05 22:10:00,0.495153933763504,2025-08-05 23:20:00,0.5073936581611633,2025-08-06 01:25:00,0.4962263405323028,2025-08-06 02:00:00,0.4995594322681427,2025-08-06 02:55:00,0.4975382089614868,1.0
ETC-USD,5m,scalping_aggressive,OCO,85,True,True,False,False,True,True,True,True,False,True,True,2025-08-06 01:00:00,2025-08-06 01:15:00,19.962158203125,2025-08-06 01:30:00,19.88042259216309,2025-08-06 02:00:00,19.97240257263184,2025-08-06 02:15:00,19.896608352661133,2025-08-06 02:45:00,19.948820114135746,2025-08-06 02:55:00,19.943342208862305,1.0
HBAR-USD,5m,scalping_aggressive,OCOI,115,True,True,True,True,True,True,True,True,True,True,True,2025-08-06 01:15:00,2025-08-06 01:30:00,0.2348845452070236,2025-08-06 01:55:00,0.2358597964048385,2025-08-06 02:10:00,0.234270304441452,2025-08-06 02:25:00,0.2358955293893814,2025-08-06 02:40:00,0.2350406050682068,2025-08-06 02:55:00,0.2355165630578994,0.0
LDO-USD,5m,scalping_aggressive,OCOI,115,True,True,True,True,True,True,True,True,True,True,True,2025-08-06 01:15:00,2025-08-06 01:30:00,0.8950656652450562,2025-08-06 02:00:00,0.8986825346946716,2025-08-06 02:15:00,0.8946644067764282,2025-08-06 02:35:00,0.8982526063919067,2025-08-06 02:40:00,0.895681619644165,2025-08-06 02:55:00,0.8973652124404907,0.0
SOL-USD,5m,scalping_aggressive,OCO,95,True,True,True,False,True,True,True,True,False,True,True,2025-08-05 20:55:00,2025-08-05 21:35:00,163.35377502441406,2025-08-05 22:05:00,161.64089965820312,2025-08-05 23:45:00,164.46102905273438,2025-08-06 01:35:00,161.9293212890625,2025-08-06 02:45:00,163.04544067382812,2025-08-06 02:55:00,162.7431640625,1.0
XRP-USD,5m,scalping_aggressive,OCO,90,True,True,False,False,True,True,True,True,True,True,True,2025-08-06 01:00:00,2025-08-06 01:15:00,2.937762260437012,2025-08-06 01:30:00,2.926137924194336,2025-08-06 02:00:00,2.939411163330078,2025-08-06 02:15:00,2.9246389865875244,2025-08-06 02:30:00,2.9340603351593018,2025-08-06 02:55:00,2.93105149269104,1.0
EOS-USD,5m,scalping_moderate,OCO,90,True,True,False,False,True,True,True,True,True,True,True,2025-08-05 21:00:00,2025-08-05 21:20:00,0.5029528737068176,2025-08-05 22:10:00,0.495153933763504,2025-08-05 23:20:00,0.5073936581611633,2025-08-06 01:25:00,0.4962263405323028,2025-08-06 02:00:00,0.4995594322681427,2025-08-06 02:55:00,0.4975381195545196,1.0
SOL-USD,5m,scalping_moderate,OCO,95,True,True,True,False,True,True,True,True,False,True,True,2025-08-05 20:55:00,2025-08-05 21:35:00,163.35377502441406,2025-08-05 22:05:00,161.64089965820312,2025-08-05 23:45:00,164.46102905273438,2025-08-06 01:35:00,161.9293212890625,2025-08-06 02:45:00,163.04544067382812,2025-08-06 02:55:00,162.7431640625,1.0
EOS-USD,5m,scalping_conservative,OCO,90,True,True,False,False,True,True,True,True,True,True,True,2025-08-05 21:00:00,2025-08-05 21:20:00,0.5029528737068176,2025-08-05 22:10:00,0.495153933763504,2025-08-05 23:20:00,0.5073936581611633,2025-08-06 01:25:00,0.4962263405323028,2025-08-06 02:00:00,0.4995594322681427,2025-08-06 03:00:00,0.4975381195545196,1.0
SOL-USD,5m,scalping_conservative,OCO,85,True,True,False,False,True,True,True,True,False,True,True,2025-08-05 19:55:00,2025-08-05 20:30:00,163.54537963867188,2025-08-05 22:05:00,161.64089965820312,2025-08-05 23:45:00,164.46102905273438,2025-08-06 01:35:00,161.9293212890625,2025-08-06 02:45:00,163.04544067382812,2025-08-06 03:00:00,162.7537078857422,1.0
