ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,data_ombro1,data_ombro2,label_humano,altura_rel_cabeca,ratio_ombro_esquerdo,ratio_ombro_direito,ratio_simetria_altura_ombros,neckline_slope,volume_breakout_ratio,dist_ombro1_cabeca,dist_cabeca_ombro2,ratio_simetria_temporal,dif_altura_ombros_rel,extensao_ombro1,extensao_ombro2,neckline_angle_rad,ruido_padrao,notas_revisao
ADA-USD,1d,OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,17,1440,2025-01-06 00:00:00,1.09,2024-12-28 00:00:00,2025-01-12 00:00:00,1.0,0.2018,0.245,0.245,1.0,0.0067,0.778,9.0,6.0,0.6667,0.0,3.0,2.0,0.0067,0.0585,
ADA-USD,1d,OCOI,2024-10-15 00:00:00,2024-11-06 00:00:00,22,1440,2024-10-26 00:00:00,0.33,2024-10-18 00:00:00,2024-11-05 00:00:00,1.0,0.0299,0.6193,0.6868,0.9017,-0.0008,2.3395,8.0,10.0,0.8,0.0675,3.0,6.0,-0.0008,0.0312,
ADA-USD,1d,OCO,2023-02-06 00:00:00,2023-03-16 00:00:00,38,1440,2023-02-18 00:00:00,0.41,2023-02-08 00:00:00,2023-03-14 00:00:00,0.0,0.0132,0.2355,0.8188,0.2876,-0.004,0.8437,2.0,9.0,0.2222,0.5833,1.0,2.0,-0.004,0.0234,
ADA-USD,1d,OCO,2021-08-26 00:00:00,2021-09-13 00:00:00,18,1440,2021-09-03 00:00:00,2.97,2021-08-28 00:00:00,2021-09-09 00:00:00,1.0,0.3033,0.1738,0.7129,0.2438,-0.0301,0.944,6.0,9.0,0.6667,0.5391,3.0,2.0,-0.0301,0.0503,
ADA-USD,1d,OCO,2020-11-03 00:00:00,2020-12-24 00:00:00,51,1440,2020-11-30 00:00:00,0.17,2020-11-25 00:00:00,2020-12-17 00:00:00,1.0,0.0187,1.5005,0.0315,0.021,0.0035,0.6611,5.0,3.0,0.6,-1.469,2.0,1.0,0.0035,0.0847,
ADA-USD,1h,OCO,2025-05-28 07:00:00,2025-05-30 17:00:00,58,60,2025-05-29 03:00:00,0.76,2025-05-28 12:00:00,2025-05-30 12:00:00,0.0,,,,,,,,,,,,,,,
ADA-USD,1h,OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,62,60,2025-05-19 06:00:00,0.72,2025-05-18 20:00:00,2025-05-20 13:00:00,1.0,0.0212,1.3094,0.0346,0.0264,-0.0555,1.3098,0.4167,0.25,0.6,-1.2748,0.125,0.0417,-0.0554,0.011,
ADA-USD,1h,OCOI,2025-05-13 20:00:00,2025-05-16 06:00:00,58,60,2025-05-15 14:00:00,0.76,2025-05-14 03:00:00,2025-05-15 23:00:00,0.0,0.0192,0.011,2.347,0.0047,0.0787,1.0,0.125,0.375,0.3333,2.3361,0.0417,0.25,0.0786,0.0145,
ADA-USD,1h,OCOI,2025-05-12 16:00:00,2025-05-14 06:00:00,38,60,2025-05-13 03:00:00,0.78,2025-05-12 19:00:00,2025-05-14 03:00:00,1.0,0.033,0.715,0.1201,0.168,-0.0255,0.0,0.3333,0.4583,0.7273,-0.5949,0.125,0.0417,-0.0255,0.0103,
ADA-USD,1h,OCO,2025-04-27 16:00:00,2025-04-29 22:00:00,54,60,2025-04-28 08:00:00,0.72,2025-04-27 21:00:00,2025-04-29 17:00:00,1.0,0.0334,0.7203,0.3756,0.5215,0.0006,1.0,0.4583,0.5,0.9167,-0.3447,0.2083,0.1667,0.0006,0.0101,
ADA-USD,1h,OCO,2025-03-04 20:00:00,2025-03-06 01:00:00,29,60,2025-03-05 11:00:00,0.99,2025-03-05 02:00:00,2025-03-05 20:00:00,-1.0,0.0545,0.7259,0.6859,0.9449,0.043,0.0,0.375,0.375,1.0,-0.04,0.1667,0.1667,0.043,0.0181,
ADA-USD,1h,OCO,2025-02-14 07:00:00,2025-02-15 06:00:00,23,60,2025-02-14 18:00:00,0.82,2025-02-14 10:00:00,2025-02-15 03:00:00,1.0,0.0219,0.596,0.7033,0.8474,-0.0121,0.4649,0.3333,0.375,0.8889,0.1073,0.0833,0.1667,-0.0121,0.0103,
ADA-USD,1h,OCO,2025-02-04 08:00:00,2025-02-06 16:00:00,56,60,2025-02-05 14:00:00,0.77,2025-02-04 15:00:00,2025-02-06 07:00:00,1.0,0.0314,0.0738,0.3261,0.2265,-0.0278,0.0,0.4583,0.25,0.5455,0.2522,0.1667,0.0833,-0.0278,0.0115,
