ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,data_ombro1,data_ombro2,label_humano
ADA-USD,1d,OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,17,1440,2025-01-06 00:00:00,1.09,2024-12-28 00:00:00,2025-01-12 00:00:00,1.0
ADA-USD,1d,OCOI,2024-10-15 00:00:00,2024-11-06 00:00:00,22,1440,2024-10-26 00:00:00,0.33,2024-10-18 00:00:00,2024-11-05 00:00:00,1.0
ADA-USD,1d,OCO,2023-02-06 00:00:00,2023-03-16 00:00:00,38,1440,2023-02-18 00:00:00,0.41,2023-02-08 00:00:00,2023-03-14 00:00:00,0.0
ADA-USD,1d,OCO,2021-08-26 00:00:00,2021-09-13 00:00:00,18,1440,2021-09-03 00:00:00,2.97,2021-08-28 00:00:00,2021-09-09 00:00:00,1.0
ADA-USD,1d,OCO,2020-11-03 00:00:00,2020-12-24 00:00:00,51,1440,2020-11-30 00:00:00,0.17,2020-11-25 00:00:00,2020-12-17 00:00:00,0.0
ADA-USD,1h,OCO,2025-05-28 07:00:00,2025-05-30 17:00:00,58,60,2025-05-29 03:00:00,0.76,2025-05-28 12:00:00,2025-05-30 12:00:00,0.0
ADA-USD,1h,OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,62,60,2025-05-19 06:00:00,0.72,2025-05-18 20:00:00,2025-05-20 13:00:00,1.0
ADA-USD,1h,OCOI,2025-05-13 20:00:00,2025-05-16 06:00:00,58,60,2025-05-15 14:00:00,0.76,2025-05-14 03:00:00,2025-05-15 23:00:00,0.0
ADA-USD,1h,OCOI,2025-05-12 16:00:00,2025-05-14 06:00:00,38,60,2025-05-13 03:00:00,0.78,2025-05-12 19:00:00,2025-05-14 03:00:00,1.0
ADA-USD,1h,OCO,2025-04-27 16:00:00,2025-04-29 22:00:00,54,60,2025-04-28 08:00:00,0.72,2025-04-27 21:00:00,2025-04-29 17:00:00,1.0
ADA-USD,1h,OCO,2025-03-04 20:00:00,2025-03-06 01:00:00,29,60,2025-03-05 11:00:00,0.99,2025-03-05 02:00:00,2025-03-05 20:00:00,-1.0
ADA-USD,1h,OCO,2025-02-14 07:00:00,2025-02-15 06:00:00,23,60,2025-02-14 18:00:00,0.82,2025-02-14 10:00:00,2025-02-15 03:00:00,1.0
ADA-USD,1h,OCO,2025-02-04 08:00:00,2025-02-06 16:00:00,56,60,2025-02-05 14:00:00,0.77,2025-02-04 15:00:00,2025-02-06 07:00:00,1.0
ADA-USD,1h,OCO,2025-01-27 11:00:00,2025-01-29 14:00:00,51,60,2025-01-28 11:00:00,0.96,2025-01-27 15:00:00,2025-01-29 07:00:00,1.0
ADA-USD,1h,OCOI,2025-01-04 07:00:00,2025-01-05 14:00:00,31,60,2025-01-05 03:00:00,1.06,2025-01-04 11:00:00,2025-01-05 12:00:00,1.0
ADA-USD,1h,OCO,2024-12-07 10:00:00,2024-12-08 09:00:00,23,60,2024-12-08 00:00:00,1.21,2024-12-07 15:00:00,2024-12-08 07:00:00,0.0
ADA-USD,1h,OCOI,2024-11-10 18:00:00,2024-11-11 21:00:00,27,60,2024-11-11 06:00:00,0.57,2024-11-10 21:00:00,2024-11-11 14:00:00,1.0
ADA-USD,1h,OCOI,2024-03-27 06:00:00,2024-03-28 08:00:00,26,60,2024-03-27 16:00:00,0.64,2024-03-27 08:00:00,2024-03-28 03:00:00,1.0
ADA-USD,1h,OCO,2024-03-15 09:00:00,2024-03-17 07:00:00,46,60,2024-03-16 08:00:00,0.73,2024-03-15 19:00:00,2024-03-17 03:00:00,0.0
ADA-USD,1h,OCO,2024-02-21 19:00:00,2024-02-22 23:00:00,28,60,2024-02-22 09:00:00,0.61,2024-02-21 23:00:00,2024-02-23 21:00:00,1.0
ADA-USD,1h,OCOI,2024-01-30 02:00:00,2024-02-03 10:00:00,104,60,2024-02-01 13:00:00,0.49,2024-01-31 11:00:00,2024-02-02 14:00:00,0.0
ADA-USD,1h,OCO,2024-01-11 00:00:00,2024-01-12 16:00:00,40,60,2024-01-11 13:00:00,0.61,2024-01-11 04:00:00,2024-01-13 06:00:00,1.0
ADA-USD,1h,OCOI,2023-12-10 05:00:00,2023-12-12 19:00:00,62,60,2023-12-11 19:00:00,0.53,2023-12-10 09:00:00,2023-12-12 17:00:00,1.0
ADA-USD,1h,OCO,2023-11-10 19:00:00,2023-11-12 19:00:00,48,60,2023-11-11 17:00:00,0.39,2023-11-11 00:00:00,2023-11-12 08:00:00,1.0
ADA-USD,1wk,OCO,2022-05-23 00:00:00,2022-10-17 00:00:00,21,10080,2022-08-08 00:00:00,0.55,2022-06-06 00:00:00,2022-09-05 00:00:00,1.0
ADA-USD,1wk,OCO,2021-03-08 00:00:00,2021-06-21 00:00:00,15,10080,2021-05-10 00:00:00,2.04,2021-04-12 00:00:00,2021-05-31 00:00:00,1.0
ADA-USD,4h,OCO,2025-06-01 08:00:00,2025-06-05 16:00:00,26,240,2025-06-04 04:00:00,0.7,2025-06-01 20:00:00,2025-06-05 08:00:00,1.0
ADA-USD,4h,OCO,2025-05-09 00:00:00,2025-05-13 04:00:00,25,240,2025-05-11 00:00:00,0.83,2025-05-09 08:00:00,2025-05-12 08:00:00,1.0
ADA-USD,4h,OCOI,2025-04-28 08:00:00,2025-05-03 16:00:00,32,240,2025-04-30 16:00:00,0.68,2025-04-28 16:00:00,2025-05-02 20:00:00,1.0
ADA-USD,4h,OCOI,2025-01-30 16:00:00,2025-02-04 16:00:00,30,240,2025-02-03 04:00:00,0.69,2025-01-31 04:00:00,2025-02-04 08:00:00,0.0
ADA-USD,4h,OCO,2024-12-26 20:00:00,2024-12-31 04:00:00,26,240,2024-12-29 08:00:00,0.89,2024-12-27 12:00:00,2024-12-30 20:00:00,0.0
ADA-USD,4h,OCOI,2024-11-29 12:00:00,2024-12-03 04:00:00,22,240,2024-12-01 04:00:00,1.05,2024-11-29 20:00:00,2024-12-02 08:00:00,0.0
ADA-USD,4h,OCO,2024-07-13 12:00:00,2024-07-19 08:00:00,35,240,2024-07-16 00:00:00,0.45,2024-07-13 20:00:00,2024-07-17 08:00:00,1.0
ADA-USD,4h,OCOI,2024-05-04 16:00:00,2024-05-10 04:00:00,33,240,2024-05-08 08:00:00,0.44,2024-05-05 04:00:00,2024-05-09 08:00:00,1.0
ADA-USD,4h,OCOI,2024-01-03 12:00:00,2024-01-11 12:00:00,48,240,2024-01-08 04:00:00,0.48,2024-01-03 20:00:00,2024-01-09 16:00:00,0.0
ADA-USD,4h,OCO,2023-12-25 00:00:00,2024-01-03 08:00:00,56,240,2023-12-28 04:00:00,0.66,2023-12-25 20:00:00,2024-01-02 04:00:00,1.0
AVAX-USD,1d,OCOI,2025-05-11 00:00:00,2025-05-28 00:00:00,17,1440,2025-05-20 00:00:00,22.43,2025-05-12 00:00:00,2025-05-24 00:00:00,1.0
AVAX-USD,1d,OCO,2024-12-22 00:00:00,2025-01-20 00:00:00,29,1440,2025-01-06 00:00:00,43.59,2024-12-25 00:00:00,2025-01-17 00:00:00,1.0
AVAX-USD,1d,OCO,2024-11-25 00:00:00,2024-12-31 00:00:00,36,1440,2024-12-13 00:00:00,52.91,2024-12-08 00:00:00,2024-12-25 00:00:00,1.0
AVAX-USD,1d,OCO,2022-11-21 00:00:00,2022-12-17 00:00:00,26,1440,2022-12-05 00:00:00,13.76,2022-11-24 00:00:00,2022-12-14 00:00:00,1.0
AVAX-USD,1d,OCO,2022-07-26 00:00:00,2022-08-27 00:00:00,32,1440,2022-08-13 00:00:00,29.23,2022-07-29 00:00:00,2022-08-24 00:00:00,1.0
AVAX-USD,1d,OCOI,2022-05-17 00:00:00,2022-06-07 00:00:00,21,1440,2022-05-27 00:00:00,22.98,2022-05-21 00:00:00,2022-06-04 00:00:00,1.0
AVAX-USD,1h,OCOI,2025-04-27 14:00:00,2025-04-28 20:00:00,30,60,2025-04-28 02:00:00,21.31,2025-04-26 13:00:00,2025-04-28 16:00:00,1.0
AVAX-USD,1h,OCOI,2025-04-13 00:00:00,2025-04-14 18:00:00,42,60,2025-04-13 22:00:00,19.47,2025-04-13 14:00:00,2025-04-14 16:00:00,1.0
AVAX-USD,1h,OCO,2025-04-10 16:00:00,2025-04-13 22:00:00,78,60,2025-04-13 00:00:00,20.52,2025-04-11 17:00:00,2025-04-13 18:00:00,0.0
AVAX-USD,1h,OCOI,2025-01-20 14:00:00,2025-01-21 18:00:00,28,60,2025-01-21 05:00:00,34.89,2025-01-20 13:00:00,2025-01-21 15:00:00,1.0
AVAX-USD,1h,OCOI,2025-01-06 16:00:00,2025-01-10 10:00:00,90,60,2025-01-09 14:00:00,36.0,2025-01-08 07:00:00,2025-01-09 21:00:00,0.0
AVAX-USD,1h,OCOI,2025-01-04 22:00:00,2025-01-06 02:00:00,28,60,2025-01-05 10:00:00,41.65,2025-01-05 02:00:00,2025-01-06 01:00:00,1.0
AVAX-USD,1h,OCO,2024-12-22 15:00:00,2024-12-23 15:00:00,24,60,2024-12-23 04:00:00,37.6,2024-12-22 17:00:00,2024-12-23 10:00:00,1.0
AVAX-USD,1h,OCO,2024-12-15 07:00:00,2024-12-17 00:00:00,41,60,2024-12-16 01:00:00,51.36,2024-12-15 14:00:00,2024-12-16 19:00:00,1.0
AVAX-USD,1h,OCO,2024-12-07 17:00:00,2024-12-09 16:00:00,47,60,2024-12-08 23:00:00,54.03,2024-12-07 19:00:00,2024-12-09 14:00:00,0.0
AVAX-USD,1h,OCOI,2024-11-27 15:00:00,2024-11-29 11:00:00,44,60,2024-11-28 16:00:00,41.84,2024-11-27 17:00:00,2024-11-30 01:00:00,1.0
AVAX-USD,1h,OCO,2024-11-27 00:00:00,2024-11-27 17:00:00,17,60,2024-11-27 10:00:00,43.82,2024-11-27 02:00:00,2024-11-27 15:00:00,1.0
AVAX-USD,1h,OCOI,2024-11-20 15:00:00,2024-11-21 13:00:00,22,60,2024-11-21 03:00:00,32.98,2024-11-20 19:00:00,2024-11-21 10:00:00,1.0
AVAX-USD,1h,OCO,2024-11-16 16:00:00,2024-11-18 14:00:00,46,60,2024-11-17 10:00:00,36.78,2024-11-17 00:00:00,2024-11-18 07:00:00,1.0
AVAX-USD,1h,OCOI,2024-04-30 14:00:00,2024-05-01 19:00:00,29,60,2024-05-01 08:00:00,31.06,2024-04-30 19:00:00,2024-05-01 17:00:00,1.0
AVAX-USD,1h,OCOI,2024-04-17 19:00:00,2024-04-18 15:00:00,20,60,2024-04-18 07:00:00,33.46,2024-04-18 00:00:00,2024-04-18 13:00:00,1.0
AVAX-USD,1h,OCO,2024-04-14 21:00:00,2024-04-16 16:00:00,43,60,2024-04-15 10:00:00,38.06,2024-04-14 23:00:00,2024-04-16 08:00:00,0.0
AVAX-USD,1h,OCOI,2024-03-28 08:00:00,2024-03-30 12:00:00,52,60,2024-03-29 21:00:00,52.84,2024-03-28 13:00:00,2024-03-30 08:00:00,0.0
AVAX-USD,1h,OCO,2024-03-21 19:00:00,2024-03-22 17:00:00,22,60,2024-03-22 05:00:00,55.93,2024-03-22 00:00:00,2024-03-22 12:00:00,0.0
AVAX-USD,1h,OCOI,2024-03-19 04:00:00,2024-03-19 16:00:00,12,60,2024-03-19 09:00:00,56.86,2024-03-19 06:00:00,2024-03-19 14:00:00,1.0
AVAX-USD,1h,OCO,2024-03-12 18:00:00,2024-03-14 14:00:00,44,60,2024-03-14 02:00:00,58.22,2024-03-13 18:00:00,2024-03-14 10:00:00,1.0
AVAX-USD,1h,OCO,2024-03-03 08:00:00,2024-03-05 03:00:00,43,60,2024-03-04 12:00:00,43.66,2024-03-04 01:00:00,2024-03-04 23:00:00,1.0
AVAX-USD,1h,OCOI,2024-02-29 15:00:00,2024-03-01 10:00:00,19,60,2024-02-29 23:00:00,40.57,2024-02-29 12:00:00,2024-03-01 08:00:00,1.0
AVAX-USD,1h,OCOI,2024-02-17 06:00:00,2024-02-18 23:00:00,41,60,2024-02-17 14:00:00,38.84,2024-02-17 02:00:00,2024-02-18 02:00:00,1.0
AVAX-USD,1h,OCO,2024-02-14 19:00:00,2024-02-16 06:00:00,35,60,2024-02-15 10:00:00,43.14,2024-02-15 01:00:00,2024-02-16 03:00:00,1.0
AVAX-USD,1h,OCOI,2024-01-24 17:00:00,2024-01-26 03:00:00,34,60,2024-01-25 13:00:00,29.81,2024-01-24 21:00:00,2024-01-26 22:00:00,1.0
AVAX-USD,1h,OCOI,2024-01-16 22:00:00,2024-01-17 21:00:00,23,60,2024-01-17 08:00:00,35.47,2024-01-17 00:00:00,2024-01-17 17:00:00,1.0
AVAX-USD,1h,OCOI,2024-01-07 06:00:00,2024-01-09 05:00:00,47,60,2024-01-08 03:00:00,32.04,2024-01-07 10:00:00,2024-01-09 02:00:00,0.0
AVAX-USD,1h,OCO,2024-01-04 01:00:00,2024-01-05 12:00:00,35,60,2024-01-04 19:00:00,38.92,2024-01-04 06:00:00,2024-01-05 09:00:00,1.0
AVAX-USD,1h,OCO,2023-12-30 09:00:00,2024-01-01 05:00:00,44,60,2023-12-31 10:00:00,40.32,2023-12-30 19:00:00,2024-01-01 02:00:00,1.0
AVAX-USD,1h,OCOI,2023-12-03 01:00:00,2023-12-05 19:00:00,66,60,2023-12-04 15:00:00,21.46,2023-12-03 18:00:00,2023-12-05 14:00:00,1.0
AVAX-USD,1h,OCO,2023-10-19 02:00:00,2023-10-27 18:00:00,208,60,2023-10-26 08:00:00,11.36,2023-10-24 13:00:00,2023-10-26 23:00:00,0.0
AVAX-USD,4h,OCO,2025-05-17 20:00:00,2025-05-26 20:00:00,54,240,2025-05-23 00:00:00,25.49,2025-05-18 12:00:00,2025-05-26 08:00:00,1.0
AVAX-USD,4h,OCO,2025-05-11 16:00:00,2025-05-19 08:00:00,46,240,2025-05-14 04:00:00,26.06,2025-05-12 04:00:00,2025-05-18 12:00:00,0.0
AVAX-USD,4h,OCOI,2025-04-13 00:00:00,2025-04-21 08:00:00,50,240,2025-04-16 08:00:00,18.78,2025-04-13 20:00:00,2025-04-20 12:00:00,1.0
AVAX-USD,4h,OCOI,2025-02-13 00:00:00,2025-02-22 20:00:00,59,240,2025-02-18 16:00:00,23.32,2025-02-13 20:00:00,2025-02-21 20:00:00,0.0
AVAX-USD,4h,OCO,2025-01-09 08:00:00,2025-01-12 20:00:00,21,240,2025-01-10 08:00:00,37.59,2025-01-09 12:00:00,2025-01-12 16:00:00,1.0
AVAX-USD,4h,OCO,2024-11-23 20:00:00,2024-11-28 12:00:00,28,240,2024-11-25 08:00:00,45.25,2024-11-24 04:00:00,2024-11-27 12:00:00,1.0
