ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
ADA-USD,1d,OCO,2024-12-28 00:00:00,2025-01-12 00:00:00,15,1440,2025-01-06 00:00:00,1.09,2605,2620
ADA-USD,1d,OCOI,2024-10-18 00:00:00,2024-11-05 00:00:00,18,1440,2024-10-26 00:00:00,0.33,2534,2552
ADA-USD,1d,OCO,2023-02-08 00:00:00,2023-03-14 00:00:00,34,1440,2023-02-18 00:00:00,0.41,1916,1950
ADA-USD,1d,OCO,2021-08-28 00:00:00,2021-09-09 00:00:00,12,1440,2021-09-03 00:00:00,2.97,1387,1399
ADA-USD,1d,OCO,2020-11-25 00:00:00,2020-12-17 00:00:00,22,1440,2020-11-30 00:00:00,0.17,1111,1133
ADA-USD,4h,OCO,2025-06-01 20:00:00,2025-06-05 08:00:00,21,240,2025-06-04 04:00:00,0.70,4252,4273
ADA-USD,4h,OCO,2025-05-09 08:00:00,2025-05-12 08:00:00,18,240,2025-05-11 00:00:00,0.83,4111,4129
ADA-USD,4h,OCOI,2025-04-28 16:00:00,2025-05-02 20:00:00,25,240,2025-04-30 16:00:00,0.68,4047,4072
ADA-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,25,240,2025-02-03 04:00:00,0.69,3522,3547
ADA-USD,4h,OCO,2024-12-27 12:00:00,2024-12-30 20:00:00,20,240,2024-12-29 08:00:00,0.89,3314,3334
ADA-USD,4h,OCOI,2024-11-29 20:00:00,2024-12-02 08:00:00,15,240,2024-12-01 04:00:00,1.05,3148,3163
ADA-USD,4h,OCO,2024-07-13 20:00:00,2024-07-17 08:00:00,21,240,2024-07-16 00:00:00,0.45,2314,2335
ADA-USD,4h,OCOI,2024-05-05 04:00:00,2024-05-09 08:00:00,25,240,2024-05-08 08:00:00,0.44,1896,1921
ADA-USD,4h,OCOI,2024-01-03 20:00:00,2024-01-09 16:00:00,35,240,2024-01-08 04:00:00,0.48,1162,1197
ADA-USD,4h,OCO,2023-12-25 20:00:00,2024-01-02 04:00:00,44,240,2023-12-28 04:00:00,0.66,1108,1152
AVAX-USD,1d,OCOI,2025-05-12 00:00:00,2025-05-24 00:00:00,12,1440,2025-05-20 00:00:00,22.43,1694,1706
AVAX-USD,1d,OCO,2024-12-25 00:00:00,2025-01-17 00:00:00,23,1440,2025-01-06 00:00:00,43.59,1556,1579
AVAX-USD,1d,OCO,2024-12-08 00:00:00,2024-12-25 00:00:00,17,1440,2024-12-13 00:00:00,52.91,1539,1556
AVAX-USD,1d,OCO,2022-11-24 00:00:00,2022-12-14 00:00:00,20,1440,2022-12-05 00:00:00,13.76,794,814
AVAX-USD,1d,OCO,2022-07-29 00:00:00,2022-08-24 00:00:00,26,1440,2022-08-13 00:00:00,29.23,676,702
AVAX-USD,1d,OCOI,2022-05-21 00:00:00,2022-06-04 00:00:00,14,1440,2022-05-27 00:00:00,22.98,607,621
AVAX-USD,4h,OCO,2025-05-18 12:00:00,2025-05-26 08:00:00,47,240,2025-05-23 00:00:00,25.49,4142,4189
AVAX-USD,4h,OCO,2025-05-12 04:00:00,2025-05-18 12:00:00,38,240,2025-05-14 04:00:00,26.06,4104,4142
AVAX-USD,4h,OCOI,2025-04-13 20:00:00,2025-04-20 12:00:00,40,240,2025-04-16 08:00:00,18.78,3934,3974
AVAX-USD,4h,OCOI,2025-02-13 20:00:00,2025-02-21 20:00:00,48,240,2025-02-18 16:00:00,23.32,3580,3628
AVAX-USD,4h,OCO,2025-01-09 12:00:00,2025-01-12 16:00:00,19,240,2025-01-10 08:00:00,37.59,3368,3387
AVAX-USD,4h,OCO,2024-11-24 04:00:00,2024-11-27 12:00:00,20,240,2024-11-25 08:00:00,45.25,3090,3110
AVAX-USD,4h,OCOI,2024-10-01 20:00:00,2024-10-05 20:00:00,24,240,2024-10-03 12:00:00,24.55,2770,2794
AVAX-USD,4h,OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,37,240,2024-08-15 20:00:00,20.11,2473,2510
AVAX-USD,4h,OCOI,2024-06-22 08:00:00,2024-06-27 00:00:00,28,240,2024-06-24 16:00:00,23.83,2161,2189
AVAX-USD,4h,OCO,2024-03-12 20:00:00,2024-03-15 00:00:00,13,240,2024-03-14 04:00:00,56.76,1552,1565
AVAX-USD,4h,OCO,2023-11-18 16:00:00,2023-11-21 12:00:00,16,240,2023-11-20 00:00:00,22.70,862,878
BTC-USD,1d,OCO,2024-05-27 00:00:00,2024-06-17 00:00:00,21,1440,2024-06-06 00:00:00,70919.99,2529,2550
BTC-USD,1d,OCOI,2024-03-30 00:00:00,2024-04-10 00:00:00,11,1440,2024-04-03 00:00:00,65713.89,2471,2482
BTC-USD,1d,OCOI,2024-03-19 00:00:00,2024-03-30 00:00:00,11,1440,2024-03-23 00:00:00,63920.48,2460,2471
BTC-USD,1d,OCO,2023-11-20 00:00:00,2023-12-14 00:00:00,24,1440,2023-12-09 00:00:00,43946.29,2340,2364
BTC-USD,1d,OCOI,2023-05-25 00:00:00,2023-07-07 00:00:00,43,1440,2023-06-15 00:00:00,25350.54,2161,2204
BTC-USD,1d,OCOI,2023-02-10 00:00:00,2023-03-28 00:00:00,46,1440,2023-03-10 00:00:00,20275.13,2057,2103
BTC-USD,1d,OCOI,2021-10-23 00:00:00,2021-11-01 00:00:00,9,1440,2021-10-27 00:00:00,59423.09,1582,1591
BTC-USD,1d,OCOI,2021-08-12 00:00:00,2021-08-26 00:00:00,14,1440,2021-08-18 00:00:00,44748.27,1510,1524
BTC-USD,1d,OCO,2020-01-18 00:00:00,2020-03-06 00:00:00,48,1440,2020-02-13 00:00:00,10270.22,938,986
BTC-USD,1d,OCO,2018-02-20 00:00:00,2018-03-21 00:00:00,29,1440,2018-03-05 00:00:00,11542.95,241,270
BTC-USD,4h,OCO,2025-02-27 08:00:00,2025-03-06 04:00:00,41,240,2025-03-02 20:00:00,93811.82,3685,3726
BTC-USD,4h,OCO,2025-01-19 16:00:00,2025-01-21 20:00:00,13,240,2025-01-20 08:00:00,107560.61,3453,3466
BTC-USD,4h,OCOI,2025-01-09 20:00:00,2025-01-16 12:00:00,40,240,2025-01-13 12:00:00,91569.87,3394,3434
BTC-USD,4h,OCO,2024-12-11 20:00:00,2024-12-19 08:00:00,45,240,2024-12-17 08:00:00,106838.46,3220,3265
BTC-USD,4h,OCOI,2024-03-17 00:00:00,2024-03-23 00:00:00,36,240,2024-03-20 00:00:00,61814.55,1601,1637
ETH-USD,1d,OCO,2025-05-22 00:00:00,2025-06-04 00:00:00,13,1440,2025-05-28 00:00:00,2672.64,2750,2763
ETH-USD,1d,OCOI,2024-06-29 00:00:00,2024-07-18 00:00:00,19,1440,2024-07-08 00:00:00,2974.06,2423,2442
ETH-USD,1d,OCO,2024-05-22 00:00:00,2024-06-02 00:00:00,11,1440,2024-05-28 00:00:00,3866.13,2385,2396
ETH-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-30 00:00:00,10,1440,2024-03-23 00:00:00,3335.14,2322,2332
ETH-USD,1d,OCOI,2023-12-12 00:00:00,2023-12-26 00:00:00,14,1440,2023-12-20 00:00:00,2189.89,2223,2237
ETH-USD,1d,OCOI,2023-02-25 00:00:00,2023-03-16 00:00:00,19,1440,2023-03-10 00:00:00,1433.91,1933,1952
ETH-USD,1d,OCO,2022-09-29 00:00:00,2022-10-18 00:00:00,19,1440,2022-10-05 00:00:00,1357.48,1784,1803
ETH-USD,1d,OCO,2022-07-29 00:00:00,2022-08-25 00:00:00,27,1440,2022-08-13 00:00:00,1969.29,1722,1749
ETH-USD,1d,OCO,2021-04-06 00:00:00,2021-04-22 00:00:00,16,1440,2021-04-15 00:00:00,2477.11,1243,1259
ETH-USD,1d,OCOI,2020-09-06 00:00:00,2020-10-31 00:00:00,55,1440,2020-09-23 00:00:00,332.81,1031,1086
ETH-USD,1d,OCO,2018-04-24 00:00:00,2018-05-14 00:00:00,20,1440,2018-05-06 00:00:00,804.22,165,185
ETH-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,2642.76,4325,4363
ETH-USD,4h,OCO,2025-04-12 16:00:00,2025-04-19 20:00:00,43,240,2025-04-14 08:00:00,1654.75,3951,3994
ETH-USD,4h,OCOI,2025-01-16 20:00:00,2025-01-20 00:00:00,19,240,2025-01-19 08:00:00,3208.64,3436,3455
