ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
ADA-USD,1d,OCO,2024-12-28 00:00:00,2025-01-12 00:00:00,15,1440,2025-01-06 00:00:00,1.09,2605,2620
ADA-USD,1d,OCOI,2024-10-18 00:00:00,2024-11-05 00:00:00,18,1440,2024-10-26 00:00:00,0.33,2534,2552
ADA-USD,1d,OCO,2023-02-08 00:00:00,2023-03-14 00:00:00,34,1440,2023-02-18 00:00:00,0.41,1916,1950
ADA-USD,1d,OCO,2021-08-28 00:00:00,2021-09-09 00:00:00,12,1440,2021-09-03 00:00:00,2.97,1387,1399
ADA-USD,1d,OCO,2020-11-25 00:00:00,2020-12-17 00:00:00,22,1440,2020-11-30 00:00:00,0.17,1111,1133
ADA-USD,1h,OCO,2025-05-28 12:00:00,2025-05-30 12:00:00,48,60,2025-05-29 03:00:00,0.76,16839,16887
ADA-USD,1h,OCOI,2025-05-18 20:00:00,2025-05-20 13:00:00,41,60,2025-05-19 06:00:00,0.72,16607,16648
ADA-USD,1h,OCOI,2025-05-14 03:00:00,2025-05-15 23:00:00,44,60,2025-05-15 14:00:00,0.76,16494,16538
ADA-USD,1h,OCOI,2025-05-12 19:00:00,2025-05-14 03:00:00,32,60,2025-05-13 03:00:00,0.78,16462,16494
ADA-USD,1h,OCO,2025-04-27 21:00:00,2025-04-29 17:00:00,44,60,2025-04-28 08:00:00,0.72,16104,16148
ADA-USD,1h,OCO,2025-03-05 02:00:00,2025-03-05 20:00:00,18,60,2025-03-05 11:00:00,0.99,14813,14831
ADA-USD,1h,OCO,2025-02-14 10:00:00,2025-02-15 03:00:00,17,60,2025-02-14 18:00:00,0.82,14365,14382
ADA-USD,1h,OCO,2025-02-04 15:00:00,2025-02-06 07:00:00,40,60,2025-02-05 14:00:00,0.77,14130,14170
ADA-USD,1h,OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,40,60,2025-01-28 11:00:00,0.96,13938,13978
ADA-USD,1h,OCOI,2025-01-04 11:00:00,2025-01-05 12:00:00,25,60,2025-01-05 03:00:00,1.06,13382,13407
ADA-USD,1h,OCO,2024-12-07 15:00:00,2024-12-08 07:00:00,16,60,2024-12-08 00:00:00,1.21,12715,12731
ADA-USD,1h,OCOI,2024-11-10 21:00:00,2024-11-11 14:00:00,17,60,2024-11-11 06:00:00,0.57,12073,12090
ADA-USD,1h,OCOI,2024-03-27 08:00:00,2024-03-28 03:00:00,19,60,2024-03-27 16:00:00,0.64,6588,6607
ADA-USD,1h,OCO,2024-03-15 19:00:00,2024-03-17 03:00:00,32,60,2024-03-16 08:00:00,0.73,6311,6343
ADA-USD,1h,OCO,2024-02-21 23:00:00,2024-02-23 21:00:00,46,60,2024-02-22 09:00:00,0.61,5763,5809
ADA-USD,1h,OCOI,2024-01-31 11:00:00,2024-02-02 14:00:00,51,60,2024-02-01 13:00:00,0.49,5247,5298
ADA-USD,1h,OCO,2024-01-11 04:00:00,2024-01-13 06:00:00,50,60,2024-01-11 13:00:00,0.61,4760,4810
ADA-USD,1h,OCOI,2023-12-10 09:00:00,2023-12-12 17:00:00,56,60,2023-12-11 19:00:00,0.53,3997,4053
ADA-USD,1h,OCO,2023-11-11 00:00:00,2023-11-12 08:00:00,32,60,2023-11-11 17:00:00,0.39,3292,3324
ADA-USD,1wk,OCO,2022-06-06 00:00:00,2022-09-05 00:00:00,13,10080,2022-08-08 00:00:00,0.55,238,251
ADA-USD,1wk,OCO,2021-04-12 00:00:00,2021-05-31 00:00:00,7,10080,2021-05-10 00:00:00,2.04,178,185
ADA-USD,4h,OCO,2025-06-01 20:00:00,2025-06-05 08:00:00,21,240,2025-06-04 04:00:00,0.70,4236,4257
ADA-USD,4h,OCO,2025-05-09 08:00:00,2025-05-12 08:00:00,18,240,2025-05-11 00:00:00,0.83,4095,4113
ADA-USD,4h,OCOI,2025-04-28 16:00:00,2025-05-02 20:00:00,25,240,2025-04-30 16:00:00,0.68,4031,4056
ADA-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,25,240,2025-02-03 04:00:00,0.69,3506,3531
ADA-USD,4h,OCO,2024-12-27 12:00:00,2024-12-30 20:00:00,20,240,2024-12-29 08:00:00,0.89,3298,3318
ADA-USD,4h,OCOI,2024-11-29 20:00:00,2024-12-02 08:00:00,15,240,2024-12-01 04:00:00,1.05,3132,3147
ADA-USD,4h,OCO,2024-07-13 20:00:00,2024-07-17 08:00:00,21,240,2024-07-16 00:00:00,0.45,2298,2319
ADA-USD,4h,OCOI,2024-05-05 04:00:00,2024-05-09 08:00:00,25,240,2024-05-08 08:00:00,0.44,1880,1905
ADA-USD,4h,OCOI,2024-01-03 20:00:00,2024-01-09 16:00:00,35,240,2024-01-08 04:00:00,0.48,1146,1181
ADA-USD,4h,OCO,2023-12-25 20:00:00,2024-01-02 04:00:00,44,240,2023-12-28 04:00:00,0.66,1092,1136
AVAX-USD,1d,OCOI,2025-05-12 00:00:00,2025-05-24 00:00:00,12,1440,2025-05-20 00:00:00,22.43,1694,1706
AVAX-USD,1d,OCO,2024-12-25 00:00:00,2025-01-17 00:00:00,23,1440,2025-01-06 00:00:00,43.59,1556,1579
AVAX-USD,1d,OCO,2024-12-08 00:00:00,2024-12-25 00:00:00,17,1440,2024-12-13 00:00:00,52.91,1539,1556
AVAX-USD,1d,OCO,2022-11-24 00:00:00,2022-12-14 00:00:00,20,1440,2022-12-05 00:00:00,13.76,794,814
AVAX-USD,1d,OCO,2022-07-29 00:00:00,2022-08-24 00:00:00,26,1440,2022-08-13 00:00:00,29.23,676,702
AVAX-USD,1d,OCOI,2022-05-21 00:00:00,2022-06-04 00:00:00,14,1440,2022-05-27 00:00:00,22.98,607,621
AVAX-USD,1h,OCOI,2025-04-26 13:00:00,2025-04-28 16:00:00,51,60,2025-04-28 02:00:00,21.31,15965,16016
AVAX-USD,1h,OCOI,2025-04-13 14:00:00,2025-04-14 16:00:00,26,60,2025-04-13 22:00:00,19.47,15654,15680
AVAX-USD,1h,OCO,2025-04-11 17:00:00,2025-04-13 18:00:00,49,60,2025-04-13 00:00:00,20.52,15609,15658
AVAX-USD,1h,OCOI,2025-01-20 13:00:00,2025-01-21 15:00:00,26,60,2025-01-21 05:00:00,34.89,13661,13687
AVAX-USD,1h,OCOI,2025-01-08 07:00:00,2025-01-09 21:00:00,38,60,2025-01-09 14:00:00,36.00,13367,13405
AVAX-USD,1h,OCOI,2025-01-05 02:00:00,2025-01-06 01:00:00,23,60,2025-01-05 10:00:00,41.65,13290,13313
AVAX-USD,1h,OCO,2024-12-22 17:00:00,2024-12-23 10:00:00,17,60,2024-12-23 04:00:00,37.60,12970,12987
AVAX-USD,1h,OCO,2024-12-15 14:00:00,2024-12-16 19:00:00,29,60,2024-12-16 01:00:00,51.36,12799,12828
AVAX-USD,1h,OCO,2024-12-07 19:00:00,2024-12-09 14:00:00,43,60,2024-12-08 23:00:00,54.03,12612,12655
AVAX-USD,1h,OCOI,2024-11-27 17:00:00,2024-11-30 01:00:00,56,60,2024-11-28 16:00:00,41.84,12370,12426
AVAX-USD,1h,OCO,2024-11-27 02:00:00,2024-11-27 15:00:00,13,60,2024-11-27 10:00:00,43.82,12355,12368
AVAX-USD,1h,OCOI,2024-11-20 19:00:00,2024-11-21 10:00:00,15,60,2024-11-21 03:00:00,32.98,12204,12219
AVAX-USD,1h,OCO,2024-11-17 00:00:00,2024-11-18 07:00:00,31,60,2024-11-17 10:00:00,36.78,12113,12144
AVAX-USD,1h,OCOI,2024-04-30 19:00:00,2024-05-01 17:00:00,22,60,2024-05-01 08:00:00,31.06,7308,7330
AVAX-USD,1h,OCOI,2024-04-18 00:00:00,2024-04-18 13:00:00,13,60,2024-04-18 07:00:00,33.46,7001,7014
AVAX-USD,1h,OCO,2024-04-14 23:00:00,2024-04-16 08:00:00,33,60,2024-04-15 10:00:00,38.06,6928,6961
AVAX-USD,1h,OCOI,2024-03-28 13:00:00,2024-03-30 08:00:00,43,60,2024-03-29 21:00:00,52.84,6510,6553
AVAX-USD,1h,OCO,2024-03-22 00:00:00,2024-03-22 12:00:00,12,60,2024-03-22 05:00:00,55.93,6353,6365
AVAX-USD,1h,OCOI,2024-03-19 06:00:00,2024-03-19 14:00:00,8,60,2024-03-19 09:00:00,56.86,6287,6295
AVAX-USD,1h,OCO,2024-03-13 18:00:00,2024-03-14 10:00:00,16,60,2024-03-14 02:00:00,58.22,6155,6171
