tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-28 12:00:00,2025-05-30 12:00:00,0.76,2025-05-29 03:00:00,16892,16940
OCOI,2025-05-18 20:00:00,2025-05-20 13:00:00,0.72,2025-05-19 06:00:00,16660,16701
OCOI,2025-05-12 19:00:00,2025-05-14 03:00:00,0.78,2025-05-13 03:00:00,16515,16547
OCO,2025-04-27 21:00:00,2025-04-29 17:00:00,0.72,2025-04-28 08:00:00,16157,16201
OCO,2025-03-05 02:00:00,2025-03-05 20:00:00,0.99,2025-03-05 11:00:00,14866,14884
OCO,2025-02-14 10:00:00,2025-02-15 03:00:00,0.82,2025-02-14 18:00:00,14418,14435
OCO,2025-02-04 15:00:00,2025-02-06 07:00:00,0.77,2025-02-05 14:00:00,14183,14223
OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,0.96,2025-01-28 11:00:00,13991,14031
OCOI,2025-01-04 11:00:00,2025-01-05 12:00:00,1.06,2025-01-05 03:00:00,13435,13460
OCO,2024-12-07 15:00:00,2024-12-08 07:00:00,1.21,2024-12-08 00:00:00,12768,12784
OCOI,2024-11-10 21:00:00,2024-11-11 14:00:00,0.57,2024-11-11 06:00:00,12126,12143
OCOI,2024-03-27 08:00:00,2024-03-28 03:00:00,0.64,2024-03-27 16:00:00,6641,6660
OCO,2024-03-15 19:00:00,2024-03-17 03:00:00,0.73,2024-03-16 08:00:00,6364,6396
OCO,2024-02-21 23:00:00,2024-02-23 21:00:00,0.61,2024-02-22 09:00:00,5816,5862
OCOI,2024-01-31 11:00:00,2024-02-02 14:00:00,0.49,2024-02-01 13:00:00,5300,5351
OCO,2024-01-11 04:00:00,2024-01-13 06:00:00,0.61,2024-01-11 13:00:00,4813,4863
OCOI,2023-12-10 09:00:00,2023-12-12 17:00:00,0.53,2023-12-11 19:00:00,4050,4106
OCO,2023-11-11 00:00:00,2023-11-12 08:00:00,0.39,2023-11-11 17:00:00,3345,3377
