tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-18 20:00:00,2025-05-20 14:00:00,102645.18,2025-05-19 06:00:00,16660,16702
OCOI,2025-03-29 17:00:00,2025-03-31 23:00:00,81661.31,2025-03-31 04:00:00,15457,15511
OCO,2025-03-05 12:00:00,2025-03-06 23:00:00,92544.41,2025-03-06 05:00:00,14876,14911
OCO,2025-01-10 11:00:00,2025-01-12 17:00:00,95342.02,2025-01-10 18:00:00,13579,13633
OCOI,2025-01-09 14:00:00,2025-01-10 16:00:00,92092.33,2025-01-09 20:00:00,13558,13584
OCOI,2024-12-23 01:00:00,2024-12-24 20:00:00,92791.62,2024-12-23 19:00:00,13138,13181
OCOI,2024-12-02 11:00:00,2024-12-04 17:00:00,94299.11,2024-12-03 13:00:00,12644,12698
OCO,2024-11-10 18:00:00,2024-11-12 20:00:00,89372.35,2024-11-12 07:00:00,12123,12173
OCOI,2024-11-03 15:00:00,2024-11-05 20:00:00,67187.60,2024-11-04 21:00:00,11952,12005
OCOI,2024-04-16 15:00:00,2024-04-19 02:00:00,60319.82,2024-04-17 16:00:00,7128,7187
OCO,2024-03-15 19:00:00,2024-03-17 04:00:00,69625.42,2024-03-16 00:00:00,6364,6397
