tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-01-04 10:00:00,2025-01-06 10:00:00,7.55,2025-01-05 10:00:00,13334,13382
OCOI,2024-12-29 23:00:00,2024-12-31 05:00:00,6.58,2024-12-30 16:00:00,13204,13234
OCO,2024-12-27 18:00:00,2024-12-30 02:00:00,7.12,2024-12-28 23:00:00,13151,13207
OCOI,2024-12-15 22:00:00,2024-12-17 07:00:00,8.63,2024-12-16 12:00:00,12867,12900
OCO,2024-07-16 16:00:00,2024-07-18 01:00:00,6.49,2024-07-17 14:00:00,9213,9246
OCO,2024-07-13 19:00:00,2024-07-16 00:00:00,6.51,2024-07-15 03:00:00,9144,9197
OCOI,2024-06-18 02:00:00,2024-06-20 00:00:00,5.64,2024-06-18 19:00:00,8527,8573
OCOI,2024-06-07 19:00:00,2024-06-10 07:00:00,6.39,2024-06-08 23:00:00,8280,8340
OCOI,2024-05-23 19:00:00,2024-05-26 06:00:00,7.09,2024-05-24 06:00:00,7920,7979
OCOI,2024-04-18 07:00:00,2024-04-20 00:00:00,6.44,2024-04-19 02:00:00,7068,7109
OCO,2024-03-29 06:00:00,2024-03-30 05:00:00,9.71,2024-03-29 14:00:00,6587,6610
OCO,2024-03-25 05:00:00,2024-03-27 02:00:00,10.02,2024-03-26 10:00:00,6490,6535
OCO,2024-03-17 19:00:00,2024-03-18 23:00:00,10.35,2024-03-18 08:00:00,6312,6340
OCO,2024-03-14 17:00:00,2024-03-15 07:00:00,11.52,2024-03-15 00:00:00,6238,6252
OCOI,2024-02-22 13:00:00,2024-02-24 02:00:00,7.31,2024-02-23 09:00:00,5730,5767
OCOI,2024-01-14 04:00:00,2024-01-15 15:00:00,7.38,2024-01-15 00:00:00,4785,4820
OCOI,2023-12-10 10:00:00,2023-12-12 17:00:00,6.50,2023-12-11 19:00:00,3951,4006
OCOI,2023-06-30 01:00:00,2023-07-02 09:00:00,4.93,2023-06-30 14:00:00,131,187
