tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-18 20:00:00,2025-05-20 13:00:00,0.00,2025-05-19 12:00:00,16559,16600
OCOI,2025-04-02 23:00:00,2025-04-04 11:00:00,0.00,2025-04-03 12:00:00,15458,15494
OCO,2025-01-11 10:00:00,2025-01-12 17:00:00,0.00,2025-01-11 22:00:00,13501,13532
OCOI,2025-01-04 16:00:00,2025-01-06 09:00:00,0.00,2025-01-05 17:00:00,13339,13380
OCO,2024-12-04 01:00:00,2024-12-04 15:00:00,0.00,2024-12-04 08:00:00,12581,12595
OCOI,2024-11-22 07:00:00,2024-11-22 19:00:00,0.00,2024-11-22 14:00:00,12299,12311
OCO,2024-11-17 16:00:00,2024-11-18 16:00:00,0.00,2024-11-18 08:00:00,12188,12212
OCO,2024-11-06 12:00:00,2024-11-08 00:00:00,0.00,2024-11-07 02:00:00,11920,11956
OCO,2024-10-29 11:00:00,2024-10-30 01:00:00,0.00,2024-10-29 17:00:00,11727,11741
OCOI,2024-07-18 12:00:00,2024-07-19 09:00:00,0.00,2024-07-18 19:00:00,9256,9277
OCO,2024-07-15 07:00:00,2024-07-16 16:00:00,0.00,2024-07-16 03:00:00,9179,9212
OCO,2024-07-06 00:00:00,2024-07-07 17:00:00,0.00,2024-07-06 23:00:00,8956,8997
OCOI,2024-05-27 11:00:00,2024-05-28 14:00:00,0.00,2024-05-28 08:00:00,8007,8034
OCOI,2024-05-21 02:00:00,2024-05-22 05:00:00,0.00,2024-05-21 20:00:00,7854,7881
OCO,2024-05-09 06:00:00,2024-05-11 18:00:00,0.00,2024-05-09 23:00:00,7570,7630
OCOI,2024-05-08 12:00:00,2024-05-09 11:00:00,0.00,2024-05-08 22:00:00,7552,7575
OCOI,2024-05-01 20:00:00,2024-05-03 00:00:00,0.00,2024-05-02 06:00:00,7393,7421
OCO,2024-04-23 09:00:00,2024-04-24 05:00:00,0.00,2024-04-23 16:00:00,7190,7210
OCO,2024-04-14 23:00:00,2024-04-15 23:00:00,0.00,2024-04-15 07:00:00,6988,7012
OCOI,2024-04-10 03:00:00,2024-04-11 05:00:00,0.00,2024-04-10 13:00:00,6872,6898
OCOI,2024-03-30 08:00:00,2024-03-31 14:00:00,0.00,2024-03-30 22:00:00,6613,6643
OCOI,2024-03-27 08:00:00,2024-03-28 03:00:00,0.00,2024-03-27 19:00:00,6541,6560
OCO,2024-03-15 19:00:00,2024-03-16 16:00:00,0.00,2024-03-16 00:00:00,6264,6285
