tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-18 12:00:00,2025-05-26 08:00:00,25.49,2025-05-23 00:00:00,4142,4189
OCO,2025-05-12 04:00:00,2025-05-18 12:00:00,26.06,2025-05-14 04:00:00,4104,4142
OCOI,2025-04-13 20:00:00,2025-04-20 12:00:00,18.78,2025-04-16 08:00:00,3934,3974
OCOI,2025-02-13 20:00:00,2025-02-21 20:00:00,23.32,2025-02-18 16:00:00,3580,3628
OCO,2025-01-09 12:00:00,2025-01-12 16:00:00,37.59,2025-01-10 08:00:00,3368,3387
OCO,2024-11-24 04:00:00,2024-11-27 12:00:00,45.25,2024-11-25 08:00:00,3090,3110
OCOI,2024-10-01 20:00:00,2024-10-05 20:00:00,24.55,2024-10-03 12:00:00,2770,2794
OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,20.11,2024-08-15 20:00:00,2473,2510
OCOI,2024-06-22 08:00:00,2024-06-27 00:00:00,23.83,2024-06-24 16:00:00,2161,2189
OCO,2024-03-12 20:00:00,2024-03-15 00:00:00,56.76,2024-03-14 04:00:00,1552,1565
OCO,2023-11-18 16:00:00,2023-11-21 12:00:00,22.70,2023-11-20 00:00:00,862,878
