tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-17 20:00:00,2025-06-18 21:00:00,476.84,2025-06-18 05:00:00,17380,17405
OCOI,2025-06-02 04:00:00,2025-06-04 00:00:00,398.81,2025-06-02 19:00:00,17004,17048
OCOI,2025-05-09 10:00:00,2025-05-10 12:00:00,406.25,2025-05-09 16:00:00,16434,16460
OCOI,2025-05-05 02:00:00,2025-05-06 13:00:00,351.47,2025-05-05 15:00:00,16330,16365
OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,428.95,2025-01-28 05:00:00,13991,14031
OCO,2025-01-16 17:00:00,2025-01-19 02:00:00,497.53,2025-01-17 20:00:00,13729,13786
OCO,2024-12-22 18:00:00,2024-12-23 10:00:00,453.71,2024-12-23 04:00:00,13131,13147
OCOI,2024-12-03 10:00:00,2024-12-04 03:00:00,529.92,2024-12-03 15:00:00,12667,12684
OCO,2024-11-26 17:00:00,2024-11-29 03:00:00,519.53,2024-11-27 23:00:00,12506,12564
OCOI,2024-11-26 00:00:00,2024-11-26 19:00:00,482.31,2024-11-26 13:00:00,12489,12508
OCO,2024-11-24 23:00:00,2024-11-26 02:00:00,524.22,2024-11-25 11:00:00,12464,12491
OCO,2024-11-07 02:00:00,2024-11-08 23:00:00,384.50,2024-11-07 21:00:00,12035,12080
OCOI,2024-10-15 12:00:00,2024-10-16 08:00:00,351.64,2024-10-15 21:00:00,11493,11513
OCO,2024-10-07 02:00:00,2024-10-08 16:00:00,331.19,2024-10-07 17:00:00,11291,11329
OCOI,2024-09-05 20:00:00,2024-09-07 22:00:00,292.58,2024-09-06 21:00:00,10541,10591
OCO,2024-08-12 15:00:00,2024-08-13 17:00:00,359.77,2024-08-13 01:00:00,9960,9986
OCO,2024-08-05 16:00:00,2024-08-06 16:00:00,324.50,2024-08-06 01:00:00,9793,9817
OCO,2024-04-25 18:00:00,2024-04-27 04:00:00,490.27,2024-04-26 19:00:00,7347,7381
OCOI,2024-04-18 17:00:00,2024-04-19 15:00:00,456.86,2024-04-19 02:00:00,7178,7200
OCOI,2024-03-15 05:00:00,2024-03-15 21:00:00,402.63,2024-03-15 09:00:00,6350,6366
OCO,2024-03-04 06:00:00,2024-03-05 13:00:00,468.68,2024-03-04 23:00:00,6087,6118
OCOI,2024-02-27 08:00:00,2024-02-28 22:00:00,291.82,2024-02-28 03:00:00,5945,5983
OCOI,2024-01-13 17:00:00,2024-01-15 15:00:00,248.03,2024-01-15 00:00:00,4874,4920
OCOI,2023-07-01 05:00:00,2023-07-02 18:00:00,271.77,2023-07-02 04:00:00,159,196
OCO,2023-06-26 19:00:00,2023-06-28 11:00:00,234.80,2023-06-27 12:00:00,53,93
