tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-05-27 00:00:00,2024-06-17 00:00:00,70919.99,2024-06-06 00:00:00,2529,2550
OCOI,2024-03-30 00:00:00,2024-04-10 00:00:00,65713.89,2024-04-03 00:00:00,2471,2482
OCOI,2024-03-19 00:00:00,2024-03-30 00:00:00,63920.48,2024-03-23 00:00:00,2460,2471
OCO,2023-11-20 00:00:00,2023-12-14 00:00:00,43946.29,2023-12-09 00:00:00,2340,2364
OCOI,2023-05-25 00:00:00,2023-07-07 00:00:00,25350.54,2023-06-15 00:00:00,2161,2204
OCOI,2023-02-10 00:00:00,2023-03-28 00:00:00,20275.13,2023-03-10 00:00:00,2057,2103
OCOI,2021-10-23 00:00:00,2021-11-01 00:00:00,59423.09,2021-10-27 00:00:00,1582,1591
OCOI,2021-08-12 00:00:00,2021-08-26 00:00:00,44748.27,2021-08-18 00:00:00,1510,1524
OCO,2020-01-18 00:00:00,2020-03-06 00:00:00,10270.22,2020-02-13 00:00:00,938,986
OCO,2018-02-20 00:00:00,2018-03-21 00:00:00,11542.95,2018-03-05 00:00:00,241,270
