tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-01 10:00:00,2025-06-03 09:00:00,13.69,2025-06-02 14:00:00,16986,17033
OCOI,2025-04-23 16:00:00,2025-04-25 02:00:00,14.27,2025-04-24 08:00:00,16056,16090
OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,24.46,2025-01-28 05:00:00,13991,14031
OCOI,2025-01-25 01:00:00,2025-01-26 00:00:00,24.86,2025-01-25 09:00:00,13929,13952
OCOI,2025-01-20 18:00:00,2025-01-21 21:00:00,23.98,2025-01-21 05:00:00,13826,13853
OCO,2025-01-19 02:00:00,2025-01-20 08:00:00,26.47,2025-01-19 18:00:00,13786,13816
OCO,2024-12-23 04:00:00,2024-12-23 17:00:00,23.13,2024-12-23 11:00:00,13141,13154
OCOI,2024-12-15 13:00:00,2024-12-16 04:00:00,28.46,2024-12-15 22:00:00,12958,12973
OCOI,2024-12-12 13:00:00,2024-12-13 01:00:00,27.45,2024-12-12 19:00:00,12886,12898
OCO,2024-12-07 14:00:00,2024-12-09 05:00:00,27.00,2024-12-08 13:00:00,12767,12806
OCO,2024-12-06 23:00:00,2024-12-07 14:00:00,26.31,2024-12-07 04:00:00,12752,12767
OCOI,2024-11-26 00:00:00,2024-11-27 13:00:00,16.54,2024-11-26 11:00:00,12489,12526
OCOI,2024-11-20 04:00:00,2024-11-21 21:00:00,14.07,2024-11-21 03:00:00,12349,12390
OCOI,2024-11-14 15:00:00,2024-11-15 16:00:00,12.96,2024-11-15 05:00:00,12216,12241
OCO,2024-07-20 21:00:00,2024-07-23 09:00:00,14.90,2024-07-21 22:00:00,9414,9474
OCO,2024-06-19 07:00:00,2024-06-21 11:00:00,14.68,2024-06-20 11:00:00,8656,8708
OCO,2024-05-28 23:00:00,2024-05-30 02:00:00,19.08,2024-05-29 13:00:00,8144,8171
OCO,2024-03-22 20:00:00,2024-03-24 12:00:00,18.39,2024-03-23 11:00:00,6533,6573
OCOI,2024-03-17 01:00:00,2024-03-17 13:00:00,17.74,2024-03-17 07:00:00,6394,6406
OCOI,2024-03-15 05:00:00,2024-03-15 21:00:00,19.18,2024-03-15 09:00:00,6350,6366
OCO,2024-03-14 02:00:00,2024-03-14 17:00:00,21.57,2024-03-14 12:00:00,6323,6338
OCO,2024-03-02 07:00:00,2024-03-03 16:00:00,21.46,2024-03-02 17:00:00,6040,6073
OCO,2024-02-17 22:00:00,2024-02-19 19:00:00,20.22,2024-02-18 22:00:00,5719,5764
OCO,2024-01-23 16:00:00,2024-01-25 00:00:00,14.32,2024-01-24 11:00:00,5113,5145
OCO,2024-01-01 01:00:00,2024-01-03 06:00:00,15.99,2024-01-02 09:00:00,4570,4623
OCO,2023-12-25 05:00:00,2023-12-26 12:00:00,15.74,2023-12-26 04:00:00,4406,4437
OCO,2023-12-05 18:00:00,2023-12-06 09:00:00,16.01,2023-12-06 01:00:00,3939,3954
OCO,2023-11-08 23:00:00,2023-11-09 23:00:00,15.68,2023-11-09 14:00:00,3296,3320
