tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-28 12:00:00,2025-05-30 19:00:00,97.61,2025-05-29 10:00:00,16885,16940
OCO,2025-05-13 07:00:00,2025-05-15 00:00:00,104.44,2025-05-14 07:00:00,16520,16561
OCO,2025-05-12 13:00:00,2025-05-13 07:00:00,103.23,2025-05-13 00:00:00,16502,16520
OCOI,2025-04-29 15:00:00,2025-05-01 23:00:00,82.54,2025-04-30 14:00:00,16192,16248
OCO,2025-04-27 14:00:00,2025-04-29 07:00:00,87.37,2025-04-28 08:00:00,16143,16184
OCOI,2025-04-02 23:00:00,2025-04-04 11:00:00,81.24,2025-04-03 13:00:00,15552,15588
OCOI,2025-02-27 20:00:00,2025-03-01 01:00:00,116.35,2025-02-28 07:00:00,14733,14762
OCOI,2025-02-26 13:00:00,2025-02-27 04:00:00,121.81,2025-02-26 19:00:00,14702,14717
OCO,2025-02-15 15:00:00,2025-02-17 01:00:00,136.05,2025-02-16 05:00:00,14440,14474
OCOI,2025-02-05 23:00:00,2025-02-07 21:00:00,100.30,2025-02-06 19:00:00,14208,14254
OCO,2025-02-03 11:00:00,2025-02-04 15:00:00,108.03,2025-02-03 22:00:00,14148,14176
OCO,2025-01-30 23:00:00,2025-02-01 06:00:00,132.59,2025-01-31 11:00:00,14064,14095
OCOI,2025-01-22 14:00:00,2025-01-23 19:00:00,111.94,2025-01-23 11:00:00,13863,13892
OCOI,2025-01-20 18:00:00,2025-01-21 15:00:00,114.83,2025-01-21 06:00:00,13819,13840
OCO,2025-01-09 16:00:00,2025-01-12 02:00:00,106.01,2025-01-10 20:00:00,13553,13611
OCOI,2025-01-08 07:00:00,2025-01-09 14:00:00,100.32,2025-01-08 18:00:00,13520,13551
OCO,2024-12-28 22:00:00,2024-12-30 20:00:00,102.15,2024-12-30 12:00:00,13272,13318
OCOI,2024-12-14 21:00:00,2024-12-15 22:00:00,115.88,2024-12-15 08:00:00,12935,12960
OCOI,2024-12-03 10:00:00,2024-12-04 03:00:00,125.51,2024-12-03 14:00:00,12660,12677
OCO,2024-11-26 17:00:00,2024-11-29 02:00:00,97.95,2024-11-28 01:00:00,12499,12556
OCOI,2024-11-10 21:00:00,2024-11-12 05:00:00,75.21,2024-11-11 06:00:00,12119,12151
OCOI,2024-05-22 13:00:00,2024-05-24 16:00:00,83.54,2024-05-23 20:00:00,7983,8034
OCOI,2024-03-27 09:00:00,2024-03-28 20:00:00,93.70,2024-03-27 19:00:00,6635,6670
OCOI,2024-03-17 00:00:00,2024-03-18 01:00:00,82.97,2024-03-17 07:00:00,6386,6411
OCOI,2024-03-15 05:00:00,2024-03-15 21:00:00,86.92,2024-03-15 09:00:00,6343,6359
OCO,2024-03-02 04:00:00,2024-03-03 13:00:00,93.80,2024-03-03 00:00:00,6030,6063
