tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,157.07,2025-06-16 16:00:00,4325,4363
OCO,2025-05-09 20:00:00,2025-05-12 04:00:00,176.77,2025-05-11 00:00:00,4114,4128
OCO,2025-04-23 12:00:00,2025-04-28 08:00:00,154.68,2025-04-25 08:00:00,4016,4045
OCOI,2025-03-10 00:00:00,2025-03-12 04:00:00,119.18,2025-03-10 20:00:00,3749,3762
OCOI,2025-02-05 20:00:00,2025-02-08 00:00:00,189.99,2025-02-06 20:00:00,3556,3569
OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,198.78,2025-02-03 04:00:00,3522,3547
OCOI,2025-01-20 00:00:00,2025-01-23 08:00:00,236.74,2025-01-21 04:00:00,3455,3475
OCO,2024-09-08 08:00:00,2024-09-12 20:00:00,136.16,2024-09-10 20:00:00,2653,2680
OCO,2024-09-01 16:00:00,2024-09-04 16:00:00,135.29,2024-09-03 00:00:00,2613,2631
OCO,2024-07-18 08:00:00,2024-07-24 16:00:00,182.77,2024-07-22 00:00:00,2341,2379
OCO,2024-07-16 00:00:00,2024-07-18 08:00:00,161.61,2024-07-16 16:00:00,2327,2341
OCO,2024-05-27 16:00:00,2024-05-30 16:00:00,171.31,2024-05-29 04:00:00,2031,2049
OCOI,2024-05-24 08:00:00,2024-05-28 04:00:00,162.65,2024-05-26 16:00:00,2011,2034
OCOI,2024-04-01 16:00:00,2024-04-04 04:00:00,178.51,2024-04-02 12:00:00,1695,1710
OCO,2024-02-29 16:00:00,2024-03-04 12:00:00,133.52,2024-03-01 08:00:00,1503,1526
OCOI,2024-02-05 00:00:00,2024-02-07 08:00:00,94.85,2024-02-06 12:00:00,1355,1369
