tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-09 12:00:00,2025-06-10 12:00:00,2.32,2025-06-09 23:00:00,17180,17204
OCO,2025-05-22 12:00:00,2025-05-23 10:00:00,2.47,2025-05-23 03:00:00,16748,16770
OCOI,2025-05-18 20:00:00,2025-05-20 14:00:00,2.30,2025-05-19 07:00:00,16660,16702
OCO,2025-05-09 18:00:00,2025-05-11 12:00:00,2.46,2025-05-10 23:00:00,16442,16484
OCO,2025-04-14 04:00:00,2025-04-14 19:00:00,2.15,2025-04-14 12:00:00,15828,15843
OCO,2025-04-13 00:00:00,2025-04-13 18:00:00,2.22,2025-04-13 10:00:00,15800,15818
OCO,2025-04-07 15:00:00,2025-04-08 02:00:00,1.93,2025-04-07 22:00:00,15671,15682
OCOI,2025-04-02 23:00:00,2025-04-04 11:00:00,1.99,2025-04-03 15:00:00,15559,15595
OCOI,2025-03-30 17:00:00,2025-04-01 01:00:00,2.05,2025-03-31 09:00:00,15481,15513
OCO,2025-03-29 14:00:00,2025-03-30 19:00:00,2.19,2025-03-30 09:00:00,15454,15483
OCOI,2025-03-21 23:00:00,2025-03-23 18:00:00,2.37,2025-03-22 23:00:00,15271,15314
OCO,2025-03-06 05:00:00,2025-03-06 21:00:00,2.62,2025-03-06 11:00:00,14893,14909
OCOI,2025-03-05 00:00:00,2025-03-05 15:00:00,2.44,2025-03-05 06:00:00,14864,14879
OCO,2025-02-26 22:00:00,2025-02-27 18:00:00,2.24,2025-02-27 11:00:00,14718,14738
OCOI,2025-01-24 23:00:00,2025-01-26 00:00:00,3.10,2025-01-25 10:00:00,13927,13952
OCO,2024-12-27 19:00:00,2024-12-30 02:00:00,2.19,2024-12-28 22:00:00,13252,13307
OCOI,2024-12-22 15:00:00,2024-12-23 07:00:00,2.16,2024-12-23 02:00:00,13128,13144
OCOI,2024-12-15 22:00:00,2024-12-16 19:00:00,2.35,2024-12-16 12:00:00,12967,12988
OCO,2024-12-07 16:00:00,2024-12-08 13:00:00,2.60,2024-12-08 00:00:00,12769,12790
OCO,2024-12-03 21:00:00,2024-12-04 19:00:00,2.64,2024-12-04 10:00:00,12678,12700
OCO,2024-11-20 00:00:00,2024-11-21 01:00:00,1.13,2024-11-20 14:00:00,12345,12370
OCOI,2024-11-17 11:00:00,2024-11-18 12:00:00,1.04,2024-11-17 19:00:00,12284,12309
