tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-28 07:00:00,2025-05-30 17:00:00,2025-05-28 12:00:00,2025-05-30 12:00:00,0.76,2025-05-29 03:00:00,16833,16891
OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,2025-05-18 20:00:00,2025-05-20 13:00:00,0.72,2025-05-19 06:00:00,16602,16664
OCOI,2025-05-13 20:00:00,2025-05-16 06:00:00,2025-05-14 03:00:00,2025-05-15 23:00:00,0.76,2025-05-15 14:00:00,16486,16544
OCOI,2025-05-12 13:00:00,2025-05-14 06:00:00,2025-05-12 19:00:00,2025-05-14 03:00:00,0.78,2025-05-13 03:00:00,16455,16496
OCO,2025-04-27 16:00:00,2025-04-30 14:00:00,2025-04-27 21:00:00,2025-04-29 17:00:00,0.72,2025-04-28 08:00:00,16098,16168
OCO,2025-03-04 20:00:00,2025-03-06 01:00:00,2025-03-05 02:00:00,2025-03-05 20:00:00,0.99,2025-03-05 11:00:00,14806,14835
OCO,2025-02-14 07:00:00,2025-02-16 03:00:00,2025-02-14 10:00:00,2025-02-15 03:00:00,0.82,2025-02-14 18:00:00,14361,14405
OCO,2025-02-04 08:00:00,2025-02-06 19:00:00,2025-02-04 15:00:00,2025-02-06 07:00:00,0.77,2025-02-05 14:00:00,14122,14181
OCO,2025-01-27 11:00:00,2025-01-29 14:00:00,2025-01-27 15:00:00,2025-01-29 07:00:00,0.96,2025-01-28 11:00:00,13933,13984
OCOI,2025-01-04 02:00:00,2025-01-05 14:00:00,2025-01-04 11:00:00,2025-01-05 12:00:00,1.06,2025-01-05 03:00:00,13372,13408
OCO,2024-12-07 10:00:00,2024-12-08 09:00:00,2024-12-07 15:00:00,2024-12-08 07:00:00,1.21,2024-12-08 00:00:00,12709,12732
OCOI,2024-11-10 18:00:00,2024-11-11 21:00:00,2024-11-10 21:00:00,2024-11-11 14:00:00,0.57,2024-11-11 06:00:00,12069,12096
OCOI,2024-03-27 01:00:00,2024-03-28 15:00:00,2024-03-27 08:00:00,2024-03-28 03:00:00,0.64,2024-03-27 16:00:00,6580,6618
OCO,2024-03-15 09:00:00,2024-03-17 07:00:00,2024-03-15 19:00:00,2024-03-17 03:00:00,0.73,2024-03-16 08:00:00,6300,6346
OCO,2024-02-21 19:00:00,2024-02-24 02:00:00,2024-02-21 23:00:00,2024-02-23 21:00:00,0.61,2024-02-22 09:00:00,5758,5813
OCOI,2024-01-30 02:00:00,2024-02-03 10:00:00,2024-01-31 11:00:00,2024-02-02 14:00:00,0.49,2024-02-01 13:00:00,5213,5317
OCO,2024-01-10 13:00:00,2024-01-15 00:00:00,2024-01-11 04:00:00,2024-01-13 06:00:00,0.61,2024-01-11 13:00:00,4744,4851
OCOI,2023-12-10 05:00:00,2023-12-12 19:00:00,2023-12-10 09:00:00,2023-12-12 17:00:00,0.53,2023-12-11 19:00:00,3992,4054
OCO,2023-11-10 15:00:00,2023-11-14 01:00:00,2023-11-11 00:00:00,2023-11-12 08:00:00,0.39,2023-11-11 17:00:00,3282,3364
