tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-04-23 00:00:00,2025-04-28 08:00:00,377.60,2025-04-25 12:00:00,3997,4029
OCOI,2025-04-03 16:00:00,2025-04-09 00:00:00,255.95,2025-04-07 08:00:00,3881,3913
OCO,2024-12-27 12:00:00,2024-12-30 08:00:00,450.95,2024-12-29 04:00:00,3298,3315
OCO,2024-12-23 00:00:00,2024-12-27 12:00:00,472.41,2024-12-24 16:00:00,3271,3298
OCOI,2024-12-13 12:00:00,2024-12-16 12:00:00,527.86,2024-12-14 16:00:00,3214,3232
OCOI,2024-12-01 04:00:00,2024-12-03 16:00:00,512.66,2024-12-02 08:00:00,3140,3155
OCOI,2024-10-20 04:00:00,2024-10-26 16:00:00,346.85,2024-10-23 16:00:00,2888,2927
OCOI,2024-09-30 20:00:00,2024-10-10 00:00:00,315.41,2024-10-03 08:00:00,2772,2827
OCO,2024-08-20 04:00:00,2024-08-29 12:00:00,365.37,2024-08-24 20:00:00,2522,2578
OCOI,2024-08-09 12:00:00,2024-08-15 20:00:00,332.12,2024-08-12 00:00:00,2458,2496
OCO,2024-07-14 04:00:00,2024-07-16 16:00:00,399.80,2024-07-16 00:00:00,2300,2315
OCOI,2024-06-30 00:00:00,2024-07-08 00:00:00,301.16,2024-07-05 04:00:00,2215,2263
OCOI,2024-04-29 08:00:00,2024-05-05 04:00:00,405.23,2024-05-01 12:00:00,1845,1880
OCOI,2024-04-16 16:00:00,2024-04-19 04:00:00,459.28,2024-04-17 12:00:00,1769,1784
OCOI,2024-04-02 08:00:00,2024-04-04 16:00:00,581.98,2024-04-03 16:00:00,1683,1697
OCOI,2024-01-29 08:00:00,2024-02-07 04:00:00,233.17,2024-02-01 04:00:00,1299,1352
OCO,2023-12-29 16:00:00,2024-01-02 04:00:00,281.67,2023-12-30 08:00:00,1115,1136
