tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-01-04 02:00:00,2025-01-06 16:00:00,2025-01-04 10:00:00,2025-01-06 10:00:00,7.55,2025-01-05 10:00:00,13272,13334
OCOI,2024-12-28 23:00:00,2024-12-31 15:00:00,2024-12-29 23:00:00,2024-12-31 05:00:00,6.58,2024-12-30 16:00:00,13126,13190
OCO,2024-12-27 16:00:00,2024-12-30 16:00:00,2024-12-27 18:00:00,2024-12-30 02:00:00,7.12,2024-12-28 23:00:00,13095,13167
OCOI,2024-12-15 15:00:00,2024-12-17 10:00:00,2024-12-15 22:00:00,2024-12-17 07:00:00,8.63,2024-12-16 12:00:00,12806,12849
OCO,2024-07-16 08:00:00,2024-07-19 02:00:00,2024-07-16 16:00:00,2024-07-18 01:00:00,6.49,2024-07-17 14:00:00,9151,9217
OCO,2024-07-12 11:00:00,2024-07-16 08:00:00,2024-07-13 19:00:00,2024-07-16 00:00:00,6.51,2024-07-15 03:00:00,9058,9151
OCOI,2024-06-17 19:00:00,2024-06-20 08:00:00,2024-06-18 02:00:00,2024-06-20 00:00:00,5.64,2024-06-18 19:00:00,8466,8527
OCOI,2024-06-07 14:00:00,2024-06-10 16:00:00,2024-06-07 19:00:00,2024-06-10 07:00:00,6.39,2024-06-08 23:00:00,8221,8295
OCOI,2024-05-23 04:00:00,2024-05-26 15:00:00,2024-05-23 19:00:00,2024-05-26 06:00:00,7.09,2024-05-24 06:00:00,7851,7934
OCOI,2024-04-18 03:00:00,2024-04-20 20:00:00,2024-04-18 07:00:00,2024-04-20 00:00:00,6.44,2024-04-19 02:00:00,7010,7075
OCO,2024-03-29 04:00:00,2024-03-30 23:00:00,2024-03-29 06:00:00,2024-03-30 05:00:00,9.71,2024-03-29 14:00:00,6531,6574
OCO,2024-03-24 04:00:00,2024-03-27 08:00:00,2024-03-25 05:00:00,2024-03-27 02:00:00,10.02,2024-03-26 10:00:00,6411,6487
OCO,2024-03-17 07:00:00,2024-03-19 09:00:00,2024-03-17 19:00:00,2024-03-18 23:00:00,10.35,2024-03-18 08:00:00,6246,6296
OCO,2024-03-14 15:00:00,2024-03-15 12:00:00,2024-03-14 17:00:00,2024-03-15 07:00:00,11.52,2024-03-15 00:00:00,6182,6203
OCOI,2024-02-22 09:00:00,2024-02-24 22:00:00,2024-02-22 13:00:00,2024-02-24 02:00:00,7.31,2024-02-23 09:00:00,5672,5733
OCOI,2024-01-13 07:00:00,2024-01-15 19:00:00,2024-01-14 04:00:00,2024-01-15 15:00:00,7.38,2024-01-15 00:00:00,4710,4770
OCOI,2023-12-10 05:00:00,2023-12-12 19:00:00,2023-12-10 10:00:00,2023-12-12 17:00:00,6.50,2023-12-11 19:00:00,3892,3954
OCOI,2023-06-29 15:00:00,2023-07-03 03:00:00,2023-06-30 01:00:00,2023-07-02 09:00:00,4.93,2023-06-30 14:00:00,67,151
