tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-18 00:00:00,2025-06-06 00:00:00,2025-05-22 00:00:00,2025-06-04 00:00:00,2672.64,2025-05-28 00:00:00,2746,2765
OCOI,2024-06-28 00:00:00,2024-07-21 00:00:00,2024-06-29 00:00:00,2024-07-18 00:00:00,2974.06,2024-07-08 00:00:00,2422,2445
OCO,2024-05-14 00:00:00,2024-06-03 00:00:00,2024-05-22 00:00:00,2024-06-02 00:00:00,3866.13,2024-05-28 00:00:00,2377,2397
OCOI,2024-03-12 00:00:00,2024-03-31 00:00:00,2024-03-20 00:00:00,2024-03-30 00:00:00,3335.14,2024-03-23 00:00:00,2314,2333
OCOI,2023-12-08 00:00:00,2023-12-28 00:00:00,2023-12-12 00:00:00,2023-12-26 00:00:00,2189.89,2023-12-20 00:00:00,2219,2239
OCOI,2023-02-18 00:00:00,2023-03-24 00:00:00,2023-02-25 00:00:00,2023-03-16 00:00:00,1433.91,2023-03-10 00:00:00,1926,1960
OCO,2022-09-21 00:00:00,2022-10-20 00:00:00,2022-09-29 00:00:00,2022-10-18 00:00:00,1357.48,2022-10-05 00:00:00,1776,1805
OCO,2022-07-26 00:00:00,2022-08-28 00:00:00,2022-07-29 00:00:00,2022-08-25 00:00:00,1969.29,2022-08-13 00:00:00,1719,1752
OCO,2021-04-04 00:00:00,2021-04-25 00:00:00,2021-04-06 00:00:00,2021-04-22 00:00:00,2477.11,2021-04-15 00:00:00,1241,1262
OCOI,2020-09-02 00:00:00,2020-11-24 00:00:00,2020-09-06 00:00:00,2020-10-31 00:00:00,332.81,2020-09-23 00:00:00,1027,1110
OCO,2018-04-06 00:00:00,2018-05-18 00:00:00,2018-04-24 00:00:00,2018-05-14 00:00:00,804.22,2018-05-06 00:00:00,147,189
