tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-14 17:00:00,2025-06-17 17:00:00,2025-06-15 17:00:00,2025-06-17 03:00:00,2662.04,2025-06-16 20:00:00,17250,17322
OCO,2025-01-27 11:00:00,2025-01-29 16:00:00,2025-01-27 15:00:00,2025-01-29 08:00:00,3211.86,2025-01-28 05:00:00,13932,13985
OCO,2025-01-18 18:00:00,2025-01-21 06:00:00,2025-01-19 02:00:00,2025-01-20 07:00:00,3432.84,2025-01-19 18:00:00,13723,13783
OCOI,2025-01-10 11:00:00,2025-01-13 00:00:00,2025-01-10 16:00:00,2025-01-12 09:00:00,3228.64,2025-01-11 08:00:00,13524,13585
OCOI,2025-01-09 01:00:00,2025-01-10 18:00:00,2025-01-09 14:00:00,2025-01-10 16:00:00,3204.29,2025-01-09 21:00:00,13490,13531
OCOI,2024-10-14 23:00:00,2024-10-20 23:00:00,2024-10-15 12:00:00,2024-10-17 19:00:00,2568.79,2024-10-15 15:00:00,11425,11569
OCO,2024-07-19 09:00:00,2024-07-23 06:00:00,2024-07-20 18:00:00,2024-07-22 20:00:00,3540.03,2024-07-22 00:00:00,9323,9416
OCOI,2024-06-16 23:00:00,2024-06-20 11:00:00,2024-06-17 13:00:00,2024-06-19 15:00:00,3398.16,2024-06-18 13:00:00,8545,8629
OCO,2024-04-14 03:00:00,2024-04-16 15:00:00,2024-04-14 07:00:00,2024-04-16 07:00:00,3260.92,2024-04-15 10:00:00,7013,7073
OCO,2024-03-25 12:00:00,2024-03-27 19:00:00,2024-03-25 19:00:00,2024-03-27 02:00:00,3659.17,2024-03-26 09:00:00,6542,6597
OCO,2024-03-15 10:00:00,2024-03-17 07:00:00,2024-03-15 18:00:00,2024-03-17 03:00:00,3754.37,2024-03-16 01:00:00,6300,6345
OCO,2024-02-20 09:00:00,2024-02-22 02:00:00,2024-02-20 14:00:00,2024-02-22 00:00:00,3009.98,2024-02-21 00:00:00,5723,5764
