tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-11-24 00:00:00,2024-12-13 00:00:00,135.76,2024-12-06 00:00:00,2707,2726
OCOI,2024-10-26 00:00:00,2024-11-13 00:00:00,65.47,2024-11-05 00:00:00,2678,2696
OCO,2024-10-06 00:00:00,2024-10-30 00:00:00,74.59,2024-10-20 00:00:00,2658,2682
OCOI,2024-01-18 00:00:00,2024-02-14 00:00:00,65.79,2024-01-24 00:00:00,2396,2423
OCO,2022-10-05 00:00:00,2022-11-11 00:00:00,68.90,2022-11-06 00:00:00,1926,1963
OCO,2022-09-05 00:00:00,2022-09-24 00:00:00,62.84,2022-09-11 00:00:00,1896,1915
OCO,2022-06-15 00:00:00,2022-07-10 00:00:00,57.92,2022-06-26 00:00:00,1814,1839
OCO,2021-12-16 00:00:00,2022-01-02 00:00:00,162.44,2021-12-24 00:00:00,1633,1650
OCO,2021-08-28 00:00:00,2021-09-16 00:00:00,225.43,2021-09-06 00:00:00,1523,1542
OCOI,2021-07-02 00:00:00,2021-08-03 00:00:00,110.28,2021-07-20 00:00:00,1466,1498
OCO,2020-04-18 00:00:00,2020-05-19 00:00:00,48.86,2020-05-03 00:00:00,1026,1057
OCO,2019-07-25 00:00:00,2019-08-12 00:00:00,98.84,2019-08-01 00:00:00,758,776
OCOI,2018-11-25 00:00:00,2018-12-27 00:00:00,23.57,2018-12-14 00:00:00,516,548
OCOI,2018-06-29 00:00:00,2018-07-23 00:00:00,76.83,2018-07-14 00:00:00,367,391
OCOI,2018-02-19 00:00:00,2018-03-01 00:00:00,202.31,2018-02-23 00:00:00,237,247
