tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-28 07:00:00,2025-05-31 02:00:00,2025-05-28 12:00:00,2025-05-30 19:00:00,97.61,2025-05-29 10:00:00,16826,16893
OCO,2025-05-13 03:00:00,2025-05-15 07:00:00,2025-05-13 07:00:00,2025-05-15 00:00:00,104.44,2025-05-14 07:00:00,16462,16514
OCO,2025-05-11 16:00:00,2025-05-13 15:00:00,2025-05-12 13:00:00,2025-05-13 07:00:00,103.23,2025-05-13 00:00:00,16427,16474
OCOI,2025-04-29 07:00:00,2025-05-02 03:00:00,2025-04-29 15:00:00,2025-05-01 23:00:00,82.54,2025-04-30 14:00:00,16130,16198
OCO,2025-04-27 06:00:00,2025-04-29 15:00:00,2025-04-27 14:00:00,2025-04-29 07:00:00,87.37,2025-04-28 08:00:00,16081,16138
OCOI,2025-04-02 19:00:00,2025-04-05 02:00:00,2025-04-02 23:00:00,2025-04-04 11:00:00,81.24,2025-04-03 13:00:00,15494,15549
OCOI,2025-02-27 10:00:00,2025-03-01 04:00:00,2025-02-27 20:00:00,2025-03-01 01:00:00,116.35,2025-02-28 07:00:00,14669,14711
OCOI,2025-02-26 11:00:00,2025-02-27 10:00:00,2025-02-26 13:00:00,2025-02-27 04:00:00,121.81,2025-02-26 19:00:00,14646,14669
OCO,2025-02-14 23:00:00,2025-02-17 04:00:00,2025-02-15 15:00:00,2025-02-17 01:00:00,136.05,2025-02-16 05:00:00,14370,14423
OCOI,2025-02-05 20:00:00,2025-02-08 01:00:00,2025-02-05 23:00:00,2025-02-07 21:00:00,100.30,2025-02-06 19:00:00,14151,14204
OCO,2025-02-03 02:00:00,2025-02-04 22:00:00,2025-02-03 11:00:00,2025-02-04 15:00:00,108.03,2025-02-03 22:00:00,14085,14129
OCO,2025-01-30 20:00:00,2025-02-01 23:00:00,2025-01-30 23:00:00,2025-02-01 06:00:00,132.59,2025-01-31 11:00:00,14007,14058
OCOI,2025-01-21 18:00:00,2025-01-23 23:00:00,2025-01-22 14:00:00,2025-01-23 19:00:00,111.94,2025-01-23 11:00:00,13789,13842
OCOI,2025-01-20 14:00:00,2025-01-21 18:00:00,2025-01-20 18:00:00,2025-01-21 15:00:00,114.83,2025-01-21 06:00:00,13761,13789
OCO,2025-01-09 14:00:00,2025-01-13 12:00:00,2025-01-09 16:00:00,2025-01-12 02:00:00,106.01,2025-01-10 20:00:00,13497,13591
OCOI,2025-01-08 01:00:00,2025-01-09 16:00:00,2025-01-08 07:00:00,2025-01-09 14:00:00,100.32,2025-01-08 18:00:00,13460,13499
OCO,2024-12-28 13:00:00,2024-12-31 04:00:00,2024-12-28 22:00:00,2024-12-30 20:00:00,102.15,2024-12-30 12:00:00,13209,13272
OCOI,2024-12-13 23:00:00,2024-12-16 01:00:00,2024-12-14 21:00:00,2024-12-15 22:00:00,115.88,2024-12-15 08:00:00,12859,12909
OCOI,2024-12-03 09:00:00,2024-12-04 08:00:00,2024-12-03 10:00:00,2024-12-04 03:00:00,125.51,2024-12-03 14:00:00,12605,12628
OCO,2024-11-26 11:00:00,2024-11-29 08:00:00,2024-11-26 17:00:00,2024-11-29 02:00:00,97.95,2024-11-28 01:00:00,12439,12508
OCOI,2024-11-10 18:00:00,2024-11-12 08:00:00,2024-11-10 21:00:00,2024-11-12 05:00:00,75.21,2024-11-11 06:00:00,12062,12100
OCOI,2024-05-21 17:00:00,2024-05-25 05:00:00,2024-05-22 13:00:00,2024-05-24 16:00:00,83.54,2024-05-23 20:00:00,7909,7993
OCOI,2024-03-27 02:00:00,2024-03-29 23:00:00,2024-03-27 09:00:00,2024-03-28 20:00:00,93.70,2024-03-27 19:00:00,6574,6643
OCOI,2024-03-16 09:00:00,2024-03-18 06:00:00,2024-03-17 00:00:00,2024-03-18 01:00:00,82.97,2024-03-17 07:00:00,6317,6362
OCOI,2024-03-14 22:00:00,2024-03-16 09:00:00,2024-03-15 05:00:00,2024-03-15 21:00:00,86.92,2024-03-15 09:00:00,6282,6317
OCO,2024-03-01 16:00:00,2024-03-04 04:00:00,2024-03-02 04:00:00,2024-03-03 13:00:00,93.80,2024-03-03 00:00:00,5964,6024
