tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-18 20:00:00,2025-05-20 13:00:00,0.00,2025-05-19 12:00:00,16506,16547
OCOI,2025-04-02 23:00:00,2025-04-04 11:00:00,0.00,2025-04-03 12:00:00,15405,15441
OCO,2025-01-11 10:00:00,2025-01-12 17:00:00,0.00,2025-01-11 22:00:00,13448,13479
OCOI,2025-01-04 16:00:00,2025-01-06 09:00:00,0.00,2025-01-05 17:00:00,13286,13327
OCO,2024-12-04 01:00:00,2024-12-04 15:00:00,0.00,2024-12-04 08:00:00,12528,12542
OCOI,2024-11-22 07:00:00,2024-11-22 19:00:00,0.00,2024-11-22 14:00:00,12246,12258
OCO,2024-11-17 16:00:00,2024-11-18 16:00:00,0.00,2024-11-18 08:00:00,12135,12159
OCO,2024-11-06 12:00:00,2024-11-08 00:00:00,0.00,2024-11-07 02:00:00,11867,11903
OCO,2024-10-29 11:00:00,2024-10-30 01:00:00,0.00,2024-10-29 17:00:00,11674,11688
OCOI,2024-07-18 12:00:00,2024-07-19 09:00:00,0.00,2024-07-18 19:00:00,9203,9224
OCO,2024-07-15 07:00:00,2024-07-16 16:00:00,0.00,2024-07-16 03:00:00,9126,9159
OCO,2024-07-06 00:00:00,2024-07-07 17:00:00,0.00,2024-07-06 23:00:00,8903,8944
OCOI,2024-05-27 11:00:00,2024-05-28 14:00:00,0.00,2024-05-28 08:00:00,7954,7981
OCOI,2024-05-21 02:00:00,2024-05-22 05:00:00,0.00,2024-05-21 20:00:00,7801,7828
OCO,2024-05-09 06:00:00,2024-05-11 18:00:00,0.00,2024-05-09 23:00:00,7517,7577
OCOI,2024-05-08 12:00:00,2024-05-09 11:00:00,0.00,2024-05-08 22:00:00,7499,7522
OCOI,2024-05-01 20:00:00,2024-05-03 00:00:00,0.00,2024-05-02 06:00:00,7340,7368
OCO,2024-04-23 09:00:00,2024-04-24 05:00:00,0.00,2024-04-23 16:00:00,7137,7157
OCO,2024-04-14 23:00:00,2024-04-15 23:00:00,0.00,2024-04-15 07:00:00,6935,6959
OCOI,2024-04-10 03:00:00,2024-04-11 05:00:00,0.00,2024-04-10 13:00:00,6819,6845
OCOI,2024-03-30 08:00:00,2024-03-31 14:00:00,0.00,2024-03-30 22:00:00,6560,6590
OCOI,2024-03-27 08:00:00,2024-03-28 03:00:00,0.00,2024-03-27 19:00:00,6488,6507
OCO,2024-03-15 19:00:00,2024-03-16 16:00:00,0.00,2024-03-16 00:00:00,6211,6232
