tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-13 04:00:00,2025-06-22 16:00:00,2025-06-14 00:00:00,2025-06-20 08:00:00,157.07,2025-06-16 16:00:00,4304,4361
OCO,2025-05-06 12:00:00,2025-05-13 04:00:00,2025-05-09 20:00:00,2025-05-12 04:00:00,176.77,2025-05-11 00:00:00,4078,4118
OCO,2025-04-21 20:00:00,2025-04-30 16:00:00,2025-04-23 12:00:00,2025-04-28 08:00:00,154.68,2025-04-25 08:00:00,3990,4043
OCOI,2025-03-07 16:00:00,2025-03-12 20:00:00,2025-03-10 00:00:00,2025-03-12 04:00:00,119.18,2025-03-10 20:00:00,3719,3750
OCOI,2025-02-04 16:00:00,2025-02-09 04:00:00,2025-02-05 20:00:00,2025-02-08 00:00:00,189.99,2025-02-06 20:00:00,3533,3560
OCOI,2025-01-30 12:00:00,2025-02-04 16:00:00,2025-01-31 04:00:00,2025-02-04 08:00:00,198.78,2025-02-03 04:00:00,3502,3533
OCOI,2025-01-19 08:00:00,2025-01-24 12:00:00,2025-01-20 00:00:00,2025-01-23 08:00:00,236.74,2025-01-21 04:00:00,3435,3466
OCO,2024-09-07 00:00:00,2024-09-13 08:00:00,2024-09-08 08:00:00,2024-09-12 20:00:00,136.16,2024-09-10 20:00:00,2629,2667
OCO,2024-09-01 08:00:00,2024-09-07 00:00:00,2024-09-01 16:00:00,2024-09-04 16:00:00,135.29,2024-09-03 00:00:00,2595,2629
OCO,2024-07-17 20:00:00,2024-07-25 16:00:00,2024-07-18 08:00:00,2024-07-24 16:00:00,182.77,2024-07-22 00:00:00,2322,2369
OCO,2024-07-12 08:00:00,2024-07-18 16:00:00,2024-07-16 00:00:00,2024-07-18 08:00:00,161.61,2024-07-16 16:00:00,2289,2327
OCO,2024-05-26 16:00:00,2024-06-02 20:00:00,2024-05-27 16:00:00,2024-05-30 16:00:00,171.31,2024-05-29 04:00:00,2009,2052
OCOI,2024-05-24 00:00:00,2024-05-29 04:00:00,2024-05-24 08:00:00,2024-05-28 04:00:00,162.65,2024-05-26 16:00:00,1993,2024
OCOI,2024-04-01 00:00:00,2024-04-04 16:00:00,2024-04-01 16:00:00,2024-04-04 04:00:00,178.51,2024-04-02 12:00:00,1675,1697
OCO,2024-02-27 16:00:00,2024-03-05 04:00:00,2024-02-29 16:00:00,2024-03-04 12:00:00,133.52,2024-03-01 08:00:00,1475,1514
OCOI,2024-02-02 08:00:00,2024-02-10 04:00:00,2024-02-05 00:00:00,2024-02-07 08:00:00,94.85,2024-02-06 12:00:00,1323,1370
