tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-01-18 00:00:00,2025-01-31 00:00:00,0.25,2025-01-25 00:00:00,2626,2639
OCOI,2023-03-16 00:00:00,2023-04-13 00:00:00,0.06,2023-03-23 00:00:00,1952,1980
OCO,2022-12-01 00:00:00,2022-12-22 00:00:00,0.06,2022-12-15 00:00:00,1847,1868
OCOI,2022-01-11 00:00:00,2022-02-12 00:00:00,0.06,2022-01-25 00:00:00,1523,1555
OCO,2021-05-01 00:00:00,2021-05-14 00:00:00,0.15,2021-05-07 00:00:00,1268,1281
OCO,2020-01-18 00:00:00,2020-03-06 00:00:00,0.03,2020-02-14 00:00:00,799,847
OCO,2019-10-09 00:00:00,2019-11-29 00:00:00,0.02,2019-10-29 00:00:00,698,749
OCOI,2019-05-31 00:00:00,2019-06-28 00:00:00,0.03,2019-06-10 00:00:00,567,595
OCO,2018-09-22 00:00:00,2018-10-16 00:00:00,0.03,2018-10-08 00:00:00,316,340
OCO,2018-05-14 00:00:00,2018-06-03 00:00:00,0.08,2018-05-21 00:00:00,185,205
