tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-09 05:00:00,2025-06-10 16:00:00,2025-06-09 12:00:00,2025-06-10 12:00:00,2.32,2025-06-09 23:00:00,17119,17154
OCO,2025-05-22 07:00:00,2025-05-23 12:00:00,2025-05-22 12:00:00,2025-05-23 10:00:00,2.47,2025-05-23 03:00:00,16689,16718
OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,2025-05-18 20:00:00,2025-05-20 14:00:00,2.30,2025-05-19 07:00:00,16602,16664
OCO,2025-05-09 16:00:00,2025-05-11 16:00:00,2025-05-09 18:00:00,2025-05-11 12:00:00,2.46,2025-05-10 23:00:00,16386,16434
OCO,2025-04-13 22:00:00,2025-04-14 23:00:00,2025-04-14 04:00:00,2025-04-14 19:00:00,2.15,2025-04-14 12:00:00,15768,15793
OCO,2025-04-12 17:00:00,2025-04-13 22:00:00,2025-04-13 00:00:00,2025-04-13 18:00:00,2.22,2025-04-13 10:00:00,15739,15768
OCO,2025-04-07 07:00:00,2025-04-08 07:00:00,2025-04-07 15:00:00,2025-04-08 02:00:00,1.93,2025-04-07 22:00:00,15609,15633
OCOI,2025-04-02 16:00:00,2025-04-04 21:00:00,2025-04-02 23:00:00,2025-04-04 11:00:00,1.99,2025-04-03 15:00:00,15498,15551
OCOI,2025-03-30 09:00:00,2025-04-01 09:00:00,2025-03-30 17:00:00,2025-04-01 01:00:00,2.05,2025-03-31 09:00:00,15419,15467
OCO,2025-03-29 11:00:00,2025-03-31 09:00:00,2025-03-29 14:00:00,2025-03-30 19:00:00,2.19,2025-03-30 09:00:00,15397,15443
OCOI,2025-03-21 18:00:00,2025-03-24 18:00:00,2025-03-21 23:00:00,2025-03-23 18:00:00,2.37,2025-03-22 23:00:00,15212,15284
OCO,2025-03-06 00:00:00,2025-03-07 01:00:00,2025-03-06 05:00:00,2025-03-06 21:00:00,2.62,2025-03-06 11:00:00,14834,14859
OCOI,2025-03-04 19:00:00,2025-03-05 22:00:00,2025-03-05 00:00:00,2025-03-05 15:00:00,2.44,2025-03-05 06:00:00,14805,14832
OCO,2025-02-26 19:00:00,2025-02-27 21:00:00,2025-02-26 22:00:00,2025-02-27 18:00:00,2.24,2025-02-27 11:00:00,14661,14687
OCOI,2025-01-24 11:00:00,2025-01-26 08:00:00,2025-01-24 23:00:00,2025-01-26 00:00:00,3.10,2025-01-25 10:00:00,13861,13906
OCO,2024-12-27 16:00:00,2024-12-30 16:00:00,2024-12-27 19:00:00,2024-12-30 02:00:00,2.19,2024-12-28 22:00:00,13195,13267
OCOI,2024-12-22 10:00:00,2024-12-23 12:00:00,2024-12-22 15:00:00,2024-12-23 07:00:00,2.16,2024-12-23 02:00:00,13069,13095
OCOI,2024-12-15 17:00:00,2024-12-16 22:00:00,2024-12-15 22:00:00,2024-12-16 19:00:00,2.35,2024-12-16 12:00:00,12908,12937
OCO,2024-12-07 08:00:00,2024-12-08 15:00:00,2024-12-07 16:00:00,2024-12-08 13:00:00,2.60,2024-12-08 00:00:00,12707,12738
OCO,2024-12-03 14:00:00,2024-12-05 01:00:00,2024-12-03 21:00:00,2024-12-04 19:00:00,2.64,2024-12-04 10:00:00,12617,12652
OCO,2024-11-19 22:00:00,2024-11-21 03:00:00,2024-11-20 00:00:00,2024-11-21 01:00:00,1.13,2024-11-20 14:00:00,12289,12318
OCOI,2024-11-17 09:00:00,2024-11-18 15:00:00,2024-11-17 11:00:00,2024-11-18 12:00:00,1.04,2024-11-17 19:00:00,12228,12258
