ticker,timeframe,strategy,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_contexto_extremos,valid_contexto_tendencia,valid_divergencia_macd,valid_divergencia_obv,valid_divergencia_rsi,valid_divergencia_rsi_strong,valid_estocastico_cross,valid_estocastico_divergencia,valid_estrutura_picos_vales,valid_extremo_cabeca,valid_extremo_secundario_fraco,valid_macd_signal_cross,valid_neckline_plana,valid_neckline_retest_p4,valid_neckline_retest_p6,valid_ombro_direito_fraco,valid_perfil_volume,valid_perfil_volume_decrescente,valid_proeminencia_cabeca,valid_profundidade_vale_pico,valid_simetria_extremos,valid_simetria_ombros,valid_volume_breakout_neckline,p0_idx,p0_preco,p1_idx,p1_preco,p2_idx,p2_preco,p3_idx,p3_preco,p4_idx,p4_preco,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco,retest_p6_idx,retest_p6_preco,p5_idx,p5_preco,p6_idx,p6_preco
QNT-USD,5m,scalping_aggressive,DB,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-31 22:00:00,104.80422541392203,2025-09-01 05:00:00,100.86558249153889,2025-09-01 09:00:00,103.04565242293721,2025-09-01 18:00:00,100.88032573777079,2025-09-01 18:15:00,101.13122923561329,,,,,,,,,,,,,,,,
MANA-USD,5m,scalping_moderate,OCOI,85,True,True,,,False,,False,False,False,False,,True,,False,True,,True,False,True,,True,,,True,False,2025-08-31 03:00:00,,,,,,,,,,2025-08-31 15:00:00,0.29016148110540124,2025-08-31 22:00:00,0.2936658826735094,2025-09-01 05:00:00,0.28023844713961565,2025-09-01 15:00:00,0.2940326066484205,2025-09-01 18:00:00,0.2861387954818176,2025-09-01 18:15:00,0.28747313008731695,,,,
SOL-USD,5m,scalping_moderate,DB,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-31 19:00:00,205.39787030011362,2025-09-01 03:00:00,197.46092251857633,2025-09-01 09:00:00,203.04390424605177,2025-09-01 16:00:00,198.12746075276183,2025-09-01 18:15:00,198.95258223198184,,,,,,,,,,,,,,,,
MANA-USD,15m,scalping_moderate,OCOI,85,True,True,,,False,,False,False,False,False,,True,,False,True,,True,False,True,,True,,,True,False,2025-08-31 03:00:00,,,,,,,,,,2025-08-31 15:00:00,0.29016148110540124,2025-08-31 22:00:00,0.2936658826735094,2025-09-01 05:00:00,0.28023844713961565,2025-09-01 15:00:00,0.2940326066484205,2025-09-01 18:00:00,0.2861387954818176,2025-09-01 18:15:00,0.2874915304342576,,,,
QNT-USD,15m,scalping_moderate,DB,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-31 04:00:00,106.25818247467203,2025-09-01 05:00:00,100.86558249153889,2025-09-01 09:00:00,103.04565242293721,2025-09-01 18:00:00,100.88032573777079,2025-09-01 18:15:00,101.1635616695108,,,,,,,,,,,,,,,,
SOL-USD,15m,scalping_moderate,DB,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-31 19:00:00,205.39787030011362,2025-09-01 03:00:00,197.46092251857633,2025-09-01 09:00:00,203.04390424605177,2025-09-01 16:00:00,198.12746075276183,2025-09-01 18:15:00,198.97449864610167,,,,,,,,,,,,,,,,
TRX-USD,15m,scalping_moderate,OCO,98,True,True,,,True,,False,False,False,True,,True,,False,True,,True,False,False,,True,,,True,False,2025-08-29 16:00:00,,,,,,,,,,2025-08-30 10:00:00,0.34034915628596224,2025-08-30 16:00:00,0.33782609530995616,2025-08-31 16:00:00,0.34328527967095374,2025-09-01 05:00:00,0.33734702500754354,2025-09-01 09:00:00,0.3410456762951316,2025-09-01 18:15:00,0.3357140502011334,,,,
TRX-USD,5m,scalping_conservative,OCO,98,True,True,,,True,,False,False,False,True,,True,,False,True,,True,False,False,,True,,,True,False,2025-08-29 16:00:00,,,,,,,,,,2025-08-30 10:00:00,0.34034915628596224,2025-08-30 16:00:00,0.33782609530995616,2025-08-31 16:00:00,0.34328527967095374,2025-09-01 05:00:00,0.33734702500754354,2025-09-01 09:00:00,0.3410456762951316,2025-09-01 18:20:00,0.335780960610999,,,,
VET-USD,15m,scalping_conservative,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,0.024006555711204032,2025-08-31 04:00:00,0.02489095155878581,2025-09-01 05:00:00,0.023690293466568292,2025-09-01 09:00:00,0.024597713148611706,2025-09-01 18:15:00,0.023612291838083582,,,,,,,,,,,,,,,,
VET-USD,5m,intraday_momentum,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,0.024006555711204032,2025-08-31 04:00:00,0.02489095155878581,2025-09-01 05:00:00,0.023690293466568292,2025-09-01 09:00:00,0.024597713148611706,2025-09-01 18:20:00,0.02361916775889644,,,,,,,,,,,,,,,,
