ticker,timeframe,padrao_tipo,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim,data_ombro1,data_ombro2
HBAR-USD,1d,OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,17,1440,2025-01-04 00:00:00,0.31,543,560,2024-12-29 00:00:00,2025-01-11 00:00:00
HBAR-USD,1d,OCO,2024-11-26 00:00:00,2024-12-22 00:00:00,26,1440,2024-12-07 00:00:00,0.35,512,538,2024-12-03 00:00:00,2024-12-14 00:00:00
HBAR-USD,1d,OCO,2023-08-01 00:00:00,2023-09-12 00:00:00,42,1440,2023-08-15 00:00:00,0.07,29,71,2023-08-09 00:00:00,2023-08-20 00:00:00
HBAR-USD,1h,OCOI,2025-06-10 12:00:00,2025-06-14 23:00:00,107,60,2025-06-13 02:00:00,0.15,17014,17121,2025-06-12 11:00:00,2025-06-14 20:00:00
HBAR-USD,1h,OCOI,2025-05-31 16:00:00,2025-06-03 15:00:00,71,60,2025-06-01 10:00:00,0.17,16778,16849,2025-06-01 02:00:00,2025-06-02 19:00:00
HBAR-USD,1h,OCO,2025-05-25 01:00:00,2025-05-28 19:00:00,90,60,2025-05-26 08:00:00,0.19,16619,16709,2025-05-25 06:00:00,2025-05-27 18:00:00
HBAR-USD,1h,OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,62,60,2025-05-19 12:00:00,0.19,16466,16528,2025-05-18 20:00:00,2025-05-20 19:00:00
HBAR-USD,1h,OCOI,2025-05-05 06:00:00,2025-05-07 09:00:00,51,60,2025-05-06 11:00:00,0.17,16144,16195,2025-05-05 15:00:00,2025-05-07 06:00:00
HBAR-USD,1h,OCOI,2025-04-13 10:00:00,2025-04-14 12:00:00,26,60,2025-04-13 22:00:00,0.16,15620,15646,2025-04-13 16:00:00,2025-04-14 08:00:00
HBAR-USD,1h,OCO,2025-04-12 03:00:00,2025-04-13 16:00:00,37,60,2025-04-12 23:00:00,0.18,15589,15626,2025-04-12 14:00:00,2025-04-13 10:00:00
HBAR-USD,1h,OCO,2025-04-10 16:00:00,2025-04-12 03:00:00,35,60,2025-04-11 10:00:00,0.17,15554,15589,2025-04-10 20:00:00,2025-04-11 21:00:00
HBAR-USD,1h,OCO,2025-03-19 02:00:00,2025-03-21 15:00:00,61,60,2025-03-19 23:00:00,0.20,15012,15073,2025-03-19 15:00:00,2025-03-20 14:00:00
HBAR-USD,1h,OCOI,2025-03-17 19:00:00,2025-03-19 15:00:00,44,60,2025-03-18 17:00:00,0.18,14981,15025,2025-03-18 04:00:00,2025-03-19 02:00:00
HBAR-USD,1h,OCO,2025-03-12 00:00:00,2025-03-13 07:00:00,31,60,2025-03-12 12:00:00,0.21,14842,14873,2025-03-12 02:00:00,2025-03-12 23:00:00
HBAR-USD,1h,OCOI,2025-02-14 14:00:00,2025-02-15 09:00:00,19,60,2025-02-14 23:00:00,0.23,14232,14251,2025-02-14 16:00:00,2025-02-15 07:00:00
HBAR-USD,1h,OCOI,2025-02-09 08:00:00,2025-02-10 09:00:00,25,60,2025-02-09 22:00:00,0.22,14106,14131,2025-02-09 14:00:00,2025-02-10 02:00:00
HBAR-USD,1h,OCO,2025-02-07 00:00:00,2025-02-08 09:00:00,33,60,2025-02-07 14:00:00,0.24,14050,14083,2025-02-07 02:00:00,2025-02-08 00:00:00
HBAR-USD,1h,OCOI,2025-02-02 20:00:00,2025-02-03 11:00:00,15,60,2025-02-03 02:00:00,0.21,13950,13965,2025-02-02 22:00:00,2025-02-03 09:00:00
HBAR-USD,1h,OCOI,2025-01-20 19:00:00,2025-01-21 18:00:00,23,60,2025-01-21 06:00:00,0.33,13637,13660,2025-01-20 21:00:00,2025-01-21 15:00:00
HBAR-USD,1h,OCO,2025-01-18 17:00:00,2025-01-19 12:00:00,19,60,2025-01-19 02:00:00,0.36,13587,13606,2025-01-18 20:00:00,2025-01-19 06:00:00
HBAR-USD,1h,OCO,2024-12-25 08:00:00,2024-12-26 10:00:00,26,60,2024-12-25 18:00:00,0.32,13003,13029,2024-12-25 10:00:00,2024-12-26 03:00:00
HBAR-USD,1h,OCOI,2024-12-08 01:00:00,2024-12-08 18:00:00,17,60,2024-12-08 09:00:00,0.33,12588,12605,2024-12-08 02:00:00,2024-12-08 16:00:00
HBAR-USD,1h,OCO,2024-12-05 03:00:00,2024-12-05 20:00:00,17,60,2024-12-05 11:00:00,0.31,12518,12535,2024-12-05 05:00:00,2024-12-05 16:00:00
HBAR-USD,1h,OCO,2024-12-01 23:00:00,2024-12-02 11:00:00,12,60,2024-12-02 06:00:00,0.25,12442,12454,2024-12-02 02:00:00,2024-12-02 09:00:00
