ticker,intervalo,tipo_padrao,estrategia_zigzag,rsi_na_cabeca,volume_ratio,contexto_tendencia,data_inicio,ombro1_preco,neckline1_idx,neckline1_preco,data_cabeca,cabeca_preco,neckline2_idx,neckline2_preco,data_fim,ombro2_preco,label_humano
BTC-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,55.52,0.64,Forte Alta,2024-03-11 19:00:00+00:00,72841.375,2024-03-12 17:00:00+00:00,68919.1015625,2024-03-14 07:00:00+00:00,73749.53125,2024-03-14 19:00:00+00:00,68694.25,2024-03-15 00:00:00+00:00,72339.546875,0.0
ETH-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,76.72,0.7,Forte Alta,2025-05-23 03:00:00+00:00,2727.05322265625,2025-05-25 08:00:00+00:00,2471.86279296875,2025-05-29 02:00:00+00:00,2773.84619140625,2025-06-01 12:00:00+00:00,2474.08349609375,2025-06-04 15:00:00+00:00,2677.42529296875,0.0
ETH-USD,4h,OCO,Oficial_HighLow_d3_dev5.0,69.98,0.71,Forte Alta,2025-05-23 00:00:00+00:00,2727.05322265625,2025-05-25 08:00:00+00:00,2471.86279296875,2025-05-29 00:00:00+00:00,2773.84619140625,2025-06-01 12:00:00+00:00,2474.08349609375,2025-06-04 12:00:00+00:00,2677.42529296875,0.0
SOL-USD,1h,OCOI,Oficial_HighLow_d3_dev4.0,34.93,0.51,Indefinido,2024-03-19 22:00:00+00:00,166.4344482421875,2024-03-20 03:00:00+00:00,176.42294311523438,2024-03-20 05:00:00+00:00,163.3963623046875,2024-03-20 12:00:00+00:00,176.32618713378906,2024-03-20 16:00:00+00:00,166.5008544921875,0.0
SOL-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,65.91,0.23,Rally de Baixa,2024-04-14 08:00:00+00:00,145.39950561523438,2024-04-14 17:00:00+00:00,134.42137145996094,2024-04-15 06:00:00+00:00,155.8724822998047,2024-04-15 19:00:00+00:00,134.5835418701172,2024-04-16 01:00:00+00:00,140.2570343017578,0.0
SOL-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,65.41,1.02,Indefinido,2024-08-12 11:00:00+00:00,150.74807739257812,2024-08-12 21:00:00+00:00,142.08921813964844,2024-08-14 12:00:00+00:00,151.7099609375,2024-08-15 07:00:00+00:00,141.395263671875,2024-08-15 16:00:00+00:00,147.35092163085938,0.0
SOL-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,73.17,0.57,Forte Alta,2024-09-10 18:00:00+00:00,137.7007293701172,2024-09-11 14:00:00+00:00,128.46031188964844,2024-09-13 22:00:00+00:00,139.806640625,2024-09-16 17:00:00+00:00,129.1497344970703,2024-09-17 15:00:00+00:00,135.48629760742188,0.0
SOL-USD,1h,OCO,Oficial_HighLow_d3_dev4.0,58.57,0.47,Forte Alta,2025-04-23 13:00:00+00:00,153.8248748779297,2025-04-24 08:00:00+00:00,145.66134643554688,2025-04-25 12:00:00+00:00,155.9680938720703,2025-04-28 01:00:00+00:00,144.9167938232422,2025-04-28 10:00:00+00:00,153.10902404785156,0.0
SOL-USD,4h,OCO,Oficial_HighLow_d3_dev5.0,65.2,0.49,Forte Alta,2025-04-23 12:00:00+00:00,153.8248748779297,2025-04-24 08:00:00+00:00,145.66134643554688,2025-04-25 12:00:00+00:00,155.9680938720703,2025-04-28 00:00:00+00:00,144.9167938232422,2025-04-28 08:00:00+00:00,153.10902404785156,0.0
SOL-USD,1d,OCOI,Oficial_HighLow_d5_dev8.0,40.28,0.62,Correcao de Alta,2024-04-13 00:00:00,119.83334350585938,2024-04-23 00:00:00,159.94459533691406,2024-05-01 00:00:00,119.3848114013672,2024-05-07 00:00:00,159.05345153808594,2024-05-13 00:00:00,138.03285217285156,0.0
