ticker,intervalo,tipo_padrao,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_divergencia_macd,valid_divergencia_rsi,valid_extremo_cabeca,valid_neckline_plana,valid_ombro_direito_fraco,valid_perfil_volume,valid_proeminencia_cabeca,valid_simetria_ombros,p0_idx,data_inicio,ombro1_preco,neckline1_idx,neckline1_preco,data_cabeca,cabeca_preco,neckline2_idx,neckline2_preco,data_fim,ombro2_preco,label_humano
BTC-USD,1h,OCO,95,True,True,True,True,True,True,True,False,True,True,2024-08-15 20:00:00,2024-08-20 05:00:00,61334.3046875,2024-08-20 16:00:00,58640.546875,2024-08-25 23:00:00,64959.78125,2024-08-28 16:00:00,57913.9921875,2024-08-29 15:00:00,61128.07421875,1.0
BTC-USD,1h,OCOI,85,True,True,False,True,True,True,False,True,True,True,2024-09-03 02:00:00,2024-09-04 01:00:00,55676.51953125,2024-09-04 16:00:00,58501.9140625,2024-09-06 21:00:00,52629.5234375,2024-09-10 19:00:00,58015.015625,2024-09-11 14:00:00,55587.24609375,1.0
ETH-USD,1h,OCOI,75,True,True,True,False,True,True,False,False,True,True,2023-11-13 16:00:00,2023-11-14 18:00:00,1939.2803955078125,2023-11-16 11:00:00,2088.662353515625,2023-11-17 16:00:00,1910.4454345703125,2023-11-20 17:00:00,2066.409912109375,2023-11-22 00:00:00,1933.1629638671875,1.0
SOL-USD,1h,OCO,75,True,True,True,False,True,True,False,False,True,True,2024-03-06 15:00:00,2024-03-07 19:00:00,149.2247314453125,2024-03-08 05:00:00,142.41061401367188,2024-03-08 14:00:00,152.4042510986328,2024-03-08 16:00:00,142.53614807128906,2024-03-09 07:00:00,149.33905029296875,1.0
SOL-USD,1h,OCO,95,True,True,True,True,True,True,True,False,True,True,2024-03-17 07:00:00,2024-03-17 22:00:00,203.6401214599609,2024-03-18 01:00:00,195.2404022216797,2024-03-18 10:00:00,209.21632385253903,2024-03-18 17:00:00,196.5144195556641,2024-03-19 05:00:00,188.42501831054688,0.0
SOL-USD,1h,OCOI,100,True,True,True,True,True,True,True,True,True,True,2024-03-19 17:00:00,2024-03-19 22:00:00,166.4344482421875,2024-03-20 03:00:00,176.42294311523438,2024-03-20 05:00:00,163.3963623046875,2024-03-20 12:00:00,176.32618713378906,2024-03-20 16:00:00,166.5008544921875,1.0
SOL-USD,1h,OCO,95,True,True,True,True,True,True,False,True,True,True,2024-05-26 18:00:00,2024-05-27 17:00:00,171.98854064941406,2024-05-28 04:00:00,165.08213806152344,2024-05-29 06:00:00,173.56561279296875,2024-05-30 08:00:00,163.69383239746094,2024-05-30 17:00:00,172.29551696777344,1.0
SOL-USD,1h,OCO,90,True,True,True,True,True,True,True,True,False,True,2024-12-05 01:00:00,2024-12-05 12:00:00,244.6758728027344,2024-12-05 22:00:00,229.2353515625,2024-12-06 01:00:00,246.4183654785156,2024-12-06 13:00:00,231.52500915527344,2024-12-07 21:00:00,243.0997772216797,
SOL-USD,1h,OCO,85,True,True,True,False,True,True,True,True,True,True,2025-01-29 19:00:00,2025-01-29 21:00:00,237.4115447998047,2025-01-30 00:00:00,227.21578979492188,2025-01-30 15:00:00,244.2484130859375,2025-01-31 21:00:00,228.48043823242188,2025-02-02 01:00:00,218.3817138671875,
SOL-USD,1h,OCO,80,True,True,True,False,True,True,False,True,True,True,2025-02-18 17:00:00,2025-02-19 11:00:00,174.054443359375,2025-02-19 21:00:00,166.71368408203125,2025-02-21 13:00:00,180.24514770507807,2025-02-21 21:00:00,167.35621643066406,2025-02-22 13:00:00,174.46231079101562,
