ticker,intervalo,tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca
ADA-USD,1d,OCO,2024-12-28 00:00:00,2025-01-12 00:00:00,1.09,2025-01-06 00:00:00
ADA-USD,1d,OCOI,2024-10-18 00:00:00,2024-11-05 00:00:00,0.33,2024-10-26 00:00:00
ADA-USD,1d,OCO,2023-02-08 00:00:00,2023-03-14 00:00:00,0.41,2023-02-18 00:00:00
ADA-USD,1d,OCO,2021-08-28 00:00:00,2021-09-09 00:00:00,2.97,2021-09-03 00:00:00
ADA-USD,1d,OCO,2020-11-25 00:00:00,2020-12-17 00:00:00,0.17,2020-11-30 00:00:00
ADA-USD,4h,OCO,2025-06-01 20:00:00,2025-06-05 08:00:00,0.70,2025-06-04 04:00:00
ADA-USD,4h,OCO,2025-05-09 08:00:00,2025-05-12 08:00:00,0.83,2025-05-11 00:00:00
ADA-USD,4h,OCOI,2025-04-28 16:00:00,2025-05-02 20:00:00,0.68,2025-04-30 16:00:00
ADA-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,0.69,2025-02-03 04:00:00
ADA-USD,4h,OCO,2024-12-27 12:00:00,2024-12-30 20:00:00,0.89,2024-12-29 08:00:00
ADA-USD,4h,OCOI,2024-11-29 20:00:00,2024-12-02 08:00:00,1.05,2024-12-01 04:00:00
ADA-USD,4h,OCO,2024-07-13 20:00:00,2024-07-17 08:00:00,0.45,2024-07-16 00:00:00
ADA-USD,4h,OCOI,2024-05-05 04:00:00,2024-05-09 08:00:00,0.44,2024-05-08 08:00:00
ADA-USD,4h,OCOI,2024-01-03 20:00:00,2024-01-09 16:00:00,0.48,2024-01-08 04:00:00
ADA-USD,4h,OCO,2023-12-25 20:00:00,2024-01-02 04:00:00,0.66,2023-12-28 04:00:00
AVAX-USD,1d,OCOI,2025-05-12 00:00:00,2025-05-24 00:00:00,22.43,2025-05-20 00:00:00
AVAX-USD,1d,OCO,2024-12-25 00:00:00,2025-01-17 00:00:00,43.59,2025-01-06 00:00:00
AVAX-USD,1d,OCO,2024-12-08 00:00:00,2024-12-25 00:00:00,52.91,2024-12-13 00:00:00
AVAX-USD,1d,OCO,2022-11-24 00:00:00,2022-12-14 00:00:00,13.76,2022-12-05 00:00:00
AVAX-USD,1d,OCO,2022-07-29 00:00:00,2022-08-24 00:00:00,29.23,2022-08-13 00:00:00
AVAX-USD,1d,OCOI,2022-05-21 00:00:00,2022-06-04 00:00:00,22.98,2022-05-27 00:00:00
AVAX-USD,4h,OCO,2025-05-18 12:00:00,2025-05-26 08:00:00,25.49,2025-05-23 00:00:00
AVAX-USD,4h,OCO,2025-05-12 04:00:00,2025-05-18 12:00:00,26.06,2025-05-14 04:00:00
AVAX-USD,4h,OCOI,2025-04-13 20:00:00,2025-04-20 12:00:00,18.78,2025-04-16 08:00:00
AVAX-USD,4h,OCOI,2025-02-13 20:00:00,2025-02-21 20:00:00,23.32,2025-02-18 16:00:00
AVAX-USD,4h,OCO,2025-01-09 12:00:00,2025-01-12 16:00:00,37.59,2025-01-10 08:00:00
AVAX-USD,4h,OCO,2024-11-24 04:00:00,2024-11-27 12:00:00,45.25,2024-11-25 08:00:00
AVAX-USD,4h,OCOI,2024-10-01 20:00:00,2024-10-05 20:00:00,24.55,2024-10-03 12:00:00
AVAX-USD,4h,OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,20.11,2024-08-15 20:00:00
AVAX-USD,4h,OCOI,2024-06-22 08:00:00,2024-06-27 00:00:00,23.83,2024-06-24 16:00:00
AVAX-USD,4h,OCO,2024-03-12 20:00:00,2024-03-15 00:00:00,56.76,2024-03-14 04:00:00
AVAX-USD,4h,OCO,2023-11-18 16:00:00,2023-11-21 12:00:00,22.70,2023-11-20 00:00:00
BTC-USD,1d,OCO,2024-05-27 00:00:00,2024-06-17 00:00:00,70919.99,2024-06-06 00:00:00
BTC-USD,1d,OCOI,2024-03-30 00:00:00,2024-04-10 00:00:00,65713.89,2024-04-03 00:00:00
BTC-USD,1d,OCOI,2024-03-19 00:00:00,2024-03-30 00:00:00,63920.48,2024-03-23 00:00:00
BTC-USD,1d,OCO,2023-11-20 00:00:00,2023-12-14 00:00:00,43946.29,2023-12-09 00:00:00
BTC-USD,1d,OCOI,2023-05-25 00:00:00,2023-07-07 00:00:00,25350.54,2023-06-15 00:00:00
BTC-USD,1d,OCOI,2023-02-10 00:00:00,2023-03-28 00:00:00,20275.13,2023-03-10 00:00:00
BTC-USD,1d,OCOI,2021-10-23 00:00:00,2021-11-01 00:00:00,59423.09,2021-10-27 00:00:00
BTC-USD,1d,OCOI,2021-08-12 00:00:00,2021-08-26 00:00:00,44748.27,2021-08-18 00:00:00
BTC-USD,1d,OCO,2020-01-18 00:00:00,2020-03-06 00:00:00,10270.22,2020-02-13 00:00:00
BTC-USD,1d,OCO,2018-02-20 00:00:00,2018-03-21 00:00:00,11542.95,2018-03-05 00:00:00
BTC-USD,4h,OCO,2025-02-27 08:00:00,2025-03-06 04:00:00,93811.82,2025-03-02 20:00:00
BTC-USD,4h,OCO,2025-01-19 16:00:00,2025-01-21 20:00:00,107560.61,2025-01-20 08:00:00
BTC-USD,4h,OCOI,2025-01-09 20:00:00,2025-01-16 12:00:00,91569.87,2025-01-13 12:00:00
BTC-USD,4h,OCO,2024-12-11 20:00:00,2024-12-19 08:00:00,106838.46,2024-12-17 08:00:00
BTC-USD,4h,OCOI,2024-03-17 00:00:00,2024-03-23 00:00:00,61814.55,2024-03-20 00:00:00
