tipo_padrao,data_inicio,data_fim,data_cabeca,ajustado_manualmente,preco_cabeca,preco_ombro1,preco_ombro2
OCO,2025-06-13 20:00:00,2025-06-20 08:00:00,2025-06-16 16:00:00,Sim,107447.98,105417.13,105099.28
OCOI,2025-03-12 12:00:00,2025-03-18 12:00:00,2025-03-13 16:00:00,Sim,81296.27,82410.94,83028.32
OCOI,2025-02-26 16:00:00,2025-03-04 12:00:00,2025-02-28 04:00:00,Sim,81618.99,85162.18,83967.66
OCO,2025-01-28 08:00:00,2025-02-03 16:00:00,2025-01-30 16:00:00,Sim,105379.20,102647.70,100384.40
OCOI,2025-01-23 08:00:00,2025-01-28 20:00:00,2025-01-27 08:00:00,Sim,100021.53,104731.60,102103.38
OCOI,2024-11-24 12:00:00,2024-11-28 12:00:00,2024-11-26 16:00:00,Sim,92302.25,97124.46,95318.95
OCOI,2024-09-16 00:00:00,2024-09-18 12:00:00,2024-09-16 12:00:00,Sim,58159.64,59924.65,60078.69
OCOI,2024-09-04 08:00:00,2024-09-11 12:00:00,2024-09-06 16:00:00,Sim,53916.36,57091.59,56926.81
OCO,2024-08-21 16:00:00,2024-08-29 12:00:00,2024-08-24 20:00:00,Sim,64146.94,61145.50,59829.53
OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,2024-08-16 08:00:00,Sim,57897.51,59083.17,58569.17
OCOI,2024-05-09 08:00:00,2024-05-14 20:00:00,2024-05-10 16:00:00,Sim,60781.13,61445.47,61712.54
OCO,2024-04-19 08:00:00,2024-04-25 16:00:00,2024-04-22 20:00:00,Sim,66535.19,64445.50,64399.15
OCOI,2024-04-16 12:00:00,2024-04-19 00:00:00,2024-04-17 12:00:00,Sim,61216.57,62882.76,63979.19
OCOI,2024-04-01 12:00:00,2024-04-05 08:00:00,2024-04-02 12:00:00,Sim,65597.45,69697.67,67354.55
OCOI,2024-03-16 20:00:00,2024-03-23 00:00:00,2024-03-20 00:00:00,Sim,62725.72,66243.60,63886.62
OCO,2024-03-12 04:00:00,2024-03-14 20:00:00,2024-03-13 20:00:00,Sim,73149.48,71983.06,69034.57
OCOI,2023-12-15 12:00:00,2023-12-19 20:00:00,2023-12-18 08:00:00,Sim,41174.13,42072.96,42472.63
